region,clade,n_tips,au_gene_bootstrap,bp_gene_bootstrap,cell_bootstrap
ALL,Glut-CACNA1H-1|Glut-CACNA1H-2|Glut-CACNA1H-3|Glut-CACNA1H-4|Glut-CACNA1H-RA|Glut-DACH2-1|Glut-DACH2-2|Glut-DACH2-3|Glut-DACH2-4|Glut-DACH2-5|Glut-DACH2-6|Glut-DACH2-7|Glut-DACH2-8|Glut-DACH2-HVCra|Glut-DACH2-HVCx|Glut-DACH2-LMANco|Glut-DACH2-LMANsh,17,1,1,1
ALL,Glut-CACNA1H-1|Glut-CACNA1H-2|Glut-CACNA1H-3|Glut-CACNA1H-4|Glut-CACNA1H-RA|Glut-DACH2-3|Glut-DACH2-4|Glut-DACH2-6|Glut-DACH2-8|Glut-DACH2-HVCx|Glut-DACH2-LMANco,11,0.9809756412213136,0.9805739250876949,1
ALL,Glut-CACNA1H-4|Glut-DACH2-3|Glut-DACH2-4|Glut-DACH2-6|Glut-DACH2-8|Glut-DACH2-HVCx|Glut-DACH2-LMANco,7,0.7140301850187609,0.35683250021935403,0.308
ALL,Glut-DACH2-1|Glut-DACH2-2|Glut-DACH2-5|Glut-DACH2-7|Glut-DACH2-HVCra|Glut-DACH2-LMANsh,6,0.9809756412213136,0.9805739250876949,1
ALL,Glut-DACH2-2|Glut-DACH2-5|Glut-DACH2-7|Glut-DACH2-LMANsh,4,0.9897066607575751,0.989385336800002,1
ALL,Glut-CACNA1H-1|Glut-CACNA1H-2|Glut-CACNA1H-3|Glut-CACNA1H-RA,4,0.6761037976410529,0.5476721894215207,0.436
ALL,Glut-CACNA1H-4|Glut-DACH2-3|Glut-DACH2-4|Glut-DACH2-HVCx,4,0.720479215731465,0.4004822388429329,0.308
ALL,Glut-DACH2-2|Glut-DACH2-5|Glut-DACH2-LMANsh,3,0.9895271683854986,0.9940993816503877,1
ALL,Glut-CACNA1H-1|Glut-CACNA1H-2|Glut-CACNA1H-3,3,0.949906333023554,0.8893444140597236,1
ALL,Glut-DACH2-6|Glut-DACH2-8|Glut-DACH2-LMANco,3,0.9903574556991549,0.9928413236161944,1
ALL,Glut-CACNA1H-4|Glut-DACH2-4|Glut-DACH2-HVCx,3,0.7074327490162189,0.23059567267341313,0.098
ALL,Glut-DACH2-5|Glut-DACH2-LMANsh,2,0.6681526586823942,0.681801740488609,0.816
ALL,Glut-CACNA1H-1|Glut-CACNA1H-2,2,0.9084212005735414,0.9985888335373544,1
ALL,Glut-DACH2-6|Glut-DACH2-8,2,0.9587511510608041,0.9330064074858269,1
ALL,Glut-DACH2-1|Glut-DACH2-HVCra,2,0.9636392399819464,0.9377622980687834,1
ALL,Glut-CACNA1H-4|Glut-DACH2-4,2,0.6327649102245733,0.24055890857990747,0.146
ARCO,Glut-CACNA1H-1|Glut-CACNA1H-2|Glut-CACNA1H-3|Glut-CACNA1H-4|Glut-CACNA1H-RA,5,1,1,1
ARCO,Glut-CACNA1H-2|Glut-CACNA1H-3|Glut-CACNA1H-4,3,0.9510441392591761,0.9615076604618913,1
ARCO,Glut-CACNA1H-2|Glut-CACNA1H-4,2,0.9930228225577334,0.9946288500095981,1
ARCO,Glut-CACNA1H-1|Glut-CACNA1H-RA,2,0.9416128063859124,0.9640453608326937,1
NIDO,Glut-DACH2-1|Glut-DACH2-2|Glut-DACH2-3|Glut-DACH2-4|Glut-DACH2-5|Glut-DACH2-6|Glut-DACH2-7|Glut-DACH2-8|Glut-DACH2-HVCra|Glut-DACH2-HVCx|Glut-DACH2-LMANco|Glut-DACH2-LMANsh,12,1,1,1
NIDO,Glut-DACH2-3|Glut-DACH2-4|Glut-DACH2-6|Glut-DACH2-8|Glut-DACH2-HVCx|Glut-DACH2-LMANco,6,0.85624672351525,0.9362916832038038,1
NIDO,Glut-DACH2-1|Glut-DACH2-2|Glut-DACH2-5|Glut-DACH2-7|Glut-DACH2-HVCra|Glut-DACH2-LMANsh,6,0.8700463764804881,0.9351701637101899,1
NIDO,Glut-DACH2-3|Glut-DACH2-6|Glut-DACH2-8|Glut-DACH2-LMANco,4,0.8678023201831186,0.7330353590529874,0.988
NIDO,Glut-DACH2-2|Glut-DACH2-5|Glut-DACH2-7|Glut-DACH2-LMANsh,4,0.8197461157048316,0.5767228676243209,0.976
NIDO,Glut-DACH2-2|Glut-DACH2-5|Glut-DACH2-LMANsh,3,0.997321941549441,0.996755487899071,1
NIDO,Glut-DACH2-2|Glut-DACH2-5,2,0.9997806764717538,0.9992359285230048,1
NIDO,Glut-DACH2-8|Glut-DACH2-LMANco,2,0.6316884625967142,0.6507979069539601,0.804
NIDO,Glut-DACH2-3|Glut-DACH2-6,2,0.6724686779961305,0.4547887915180936,0.69
NIDO,Glut-DACH2-1|Glut-DACH2-HVCra,2,0.789990468321768,0.7216769919367243,0.986
NIDO,Glut-DACH2-4|Glut-DACH2-HVCx,2,0.9309705204875588,0.8827896866005535,0.998
