region,threshold_label,clade,n_tips,cell_bootstrap
ARCO,none,Glut-CACNA1H-2|Glut-CACNA1H-4,2,1
ARCO,none,Glut-CACNA1H-1|Glut-CACNA1H-RA,2,0.932
ARCO,none,Glut-CACNA1H-2|Glut-CACNA1H-3|Glut-CACNA1H-4,3,0.896
ARCO,none,Glut-CACNA1H-1|Glut-CACNA1H-2|Glut-CACNA1H-3|Glut-CACNA1H-4|Glut-CACNA1H-RA,5,1
ARCO,0.1,Glut-CACNA1H-2|Glut-CACNA1H-4,2,1
ARCO,0.1,Glut-CACNA1H-1|Glut-CACNA1H-RA,2,1
ARCO,0.1,Glut-CACNA1H-2|Glut-CACNA1H-3|Glut-CACNA1H-4,3,1
ARCO,0.1,Glut-CACNA1H-1|Glut-CACNA1H-2|Glut-CACNA1H-3|Glut-CACNA1H-4|Glut-CACNA1H-RA,5,1
NIDO,none,Glut-DACH2-2|Glut-DACH2-5,2,0.96
NIDO,none,Glut-DACH2-6|Glut-DACH2-8,2,1
NIDO,none,Glut-DACH2-2|Glut-DACH2-5|Glut-DACH2-LMANsh,3,1
NIDO,none,Glut-DACH2-6|Glut-DACH2-8|Glut-DACH2-LMANco,3,0.36
NIDO,none,Glut-DACH2-1|Glut-DACH2-HVCra,2,1
NIDO,none,Glut-DACH2-2|Glut-DACH2-5|Glut-DACH2-7|Glut-DACH2-LMANsh,4,1
NIDO,none,Glut-DACH2-3|Glut-DACH2-HVCx,2,0.228
NIDO,none,Glut-DACH2-3|Glut-DACH2-4|Glut-DACH2-HVCx,3,0.228
NIDO,none,Glut-DACH2-3|Glut-DACH2-4|Glut-DACH2-6|Glut-DACH2-8|Glut-DACH2-HVCx|Glut-DACH2-LMANco,6,1
NIDO,none,Glut-DACH2-1|Glut-DACH2-2|Glut-DACH2-5|Glut-DACH2-7|Glut-DACH2-HVCra|Glut-DACH2-LMANsh,6,1
NIDO,none,Glut-DACH2-1|Glut-DACH2-2|Glut-DACH2-3|Glut-DACH2-4|Glut-DACH2-5|Glut-DACH2-6|Glut-DACH2-7|Glut-DACH2-8|Glut-DACH2-HVCra|Glut-DACH2-HVCx|Glut-DACH2-LMANco|Glut-DACH2-LMANsh,12,1
NIDO,0.1,Glut-DACH2-2|Glut-DACH2-5,2,1
NIDO,0.1,Glut-DACH2-8|Glut-DACH2-LMANco,2,0.804
NIDO,0.1,Glut-DACH2-2|Glut-DACH2-5|Glut-DACH2-LMANsh,3,1
NIDO,0.1,Glut-DACH2-3|Glut-DACH2-6,2,0.69
NIDO,0.1,Glut-DACH2-1|Glut-DACH2-HVCra,2,0.986
NIDO,0.1,Glut-DACH2-4|Glut-DACH2-HVCx,2,0.998
NIDO,0.1,Glut-DACH2-3|Glut-DACH2-6|Glut-DACH2-8|Glut-DACH2-LMANco,4,0.988
NIDO,0.1,Glut-DACH2-2|Glut-DACH2-5|Glut-DACH2-7|Glut-DACH2-LMANsh,4,0.976
NIDO,0.1,Glut-DACH2-3|Glut-DACH2-4|Glut-DACH2-6|Glut-DACH2-8|Glut-DACH2-HVCx|Glut-DACH2-LMANco,6,1
NIDO,0.1,Glut-DACH2-1|Glut-DACH2-2|Glut-DACH2-5|Glut-DACH2-7|Glut-DACH2-HVCra|Glut-DACH2-LMANsh,6,1
NIDO,0.1,Glut-DACH2-1|Glut-DACH2-2|Glut-DACH2-3|Glut-DACH2-4|Glut-DACH2-5|Glut-DACH2-6|Glut-DACH2-7|Glut-DACH2-8|Glut-DACH2-HVCra|Glut-DACH2-HVCx|Glut-DACH2-LMANco|Glut-DACH2-LMANsh,12,1
ALL,none,Glut-DACH2-5|Glut-DACH2-LMANsh,2,0.774
ALL,none,Glut-CACNA1H-1|Glut-CACNA1H-2,2,1
ALL,none,Glut-DACH2-2|Glut-DACH2-5|Glut-DACH2-LMANsh,3,1
ALL,none,Glut-DACH2-6|Glut-DACH2-8,2,1
ALL,none,Glut-CACNA1H-1|Glut-CACNA1H-2|Glut-CACNA1H-3,3,0.998
ALL,none,Glut-DACH2-2|Glut-DACH2-5|Glut-DACH2-7|Glut-DACH2-LMANsh,4,1
ALL,none,Glut-DACH2-1|Glut-DACH2-HVCra,2,1
ALL,none,Glut-DACH2-6|Glut-DACH2-8|Glut-DACH2-LMANco,3,0.996
ALL,none,Glut-CACNA1H-1|Glut-CACNA1H-2|Glut-CACNA1H-3|Glut-CACNA1H-4,4,0.996
ALL,none,Glut-DACH2-3|Glut-DACH2-4,2,0.988
ALL,none,Glut-DACH2-3|Glut-DACH2-4|Glut-DACH2-HVCx,3,0.994
ALL,none,Glut-CACNA1H-1|Glut-CACNA1H-2|Glut-CACNA1H-3|Glut-CACNA1H-4|Glut-CACNA1H-RA,5,0.992
ALL,none,Glut-DACH2-3|Glut-DACH2-4|Glut-DACH2-6|Glut-DACH2-8|Glut-DACH2-HVCx|Glut-DACH2-LMANco,6,0.998
ALL,none,Glut-DACH2-1|Glut-DACH2-2|Glut-DACH2-5|Glut-DACH2-7|Glut-DACH2-HVCra|Glut-DACH2-LMANsh,6,0.994
ALL,none,Glut-CACNA1H-1|Glut-CACNA1H-2|Glut-CACNA1H-3|Glut-CACNA1H-4|Glut-CACNA1H-RA|Glut-DACH2-3|Glut-DACH2-4|Glut-DACH2-6|Glut-DACH2-8|Glut-DACH2-HVCx|Glut-DACH2-LMANco,11,0.994
ALL,none,Glut-CACNA1H-1|Glut-CACNA1H-2|Glut-CACNA1H-3|Glut-CACNA1H-4|Glut-CACNA1H-RA|Glut-DACH2-1|Glut-DACH2-2|Glut-DACH2-3|Glut-DACH2-4|Glut-DACH2-5|Glut-DACH2-6|Glut-DACH2-7|Glut-DACH2-8|Glut-DACH2-HVCra|Glut-DACH2-HVCx|Glut-DACH2-LMANco|Glut-DACH2-LMANsh,17,1
ALL,0.1,Glut-DACH2-5|Glut-DACH2-LMANsh,2,0.816
ALL,0.1,Glut-CACNA1H-1|Glut-CACNA1H-2,2,1
ALL,0.1,Glut-DACH2-2|Glut-DACH2-5|Glut-DACH2-LMANsh,3,1
ALL,0.1,Glut-DACH2-6|Glut-DACH2-8,2,1
ALL,0.1,Glut-CACNA1H-1|Glut-CACNA1H-2|Glut-CACNA1H-3,3,1
ALL,0.1,Glut-DACH2-2|Glut-DACH2-5|Glut-DACH2-7|Glut-DACH2-LMANsh,4,1
