region,threshold_label,n_published_branches,n_recovered,frac_recovered,mean_au_when_recovered
ALL,0.5,16,12,0.75,0.9313503634442851
ALL,0.25,16,16,1,0.8811247015975615
ALL,0.1,16,16,1,0.8644515005149479
ALL,0.05,16,11,0.6875,0.9238899938937939
ALL,0.01,16,11,0.6875,0.9632717173410411
ALL,0.001,16,11,0.6875,0.9562224170109944
ALL,none,16,11,0.6875,0.8786806441260727
ARCO,0.5,4,4,1,0.9544930501323564
ARCO,0.25,4,4,1,0.9745593280412368
ARCO,0.1,4,4,1,0.9714199420507055
ARCO,0.05,4,4,1,0.9699954455149432
ARCO,0.01,4,4,1,0.946670383184474
ARCO,0.001,4,4,1,0.9567710802634972
ARCO,none,4,4,1,0.9178146107848477
NIDO,0.5,11,11,1,0.8440064559853431
NIDO,0.25,11,11,1,0.8304911169108026
NIDO,0.1,11,11,1,0.857823843937005
NIDO,0.05,11,9,0.8181818181818182,0.8622625061536663
NIDO,0.01,11,9,0.8181818181818182,0.917637933229197
NIDO,0.001,11,9,0.8181818181818182,0.9212007463533775
NIDO,none,11,7,0.6363636363636364,0.9606997126683193
