region,threshold_label,song_cluster,sister,clade,au,song_nonsong,agreement
ALL,0.5,Glut-CACNA1H-RA,"Glut-CACNA1H-1, Glut-CACNA1H-2, Glut-CACNA1H-3",Glut-CACNA1H-1|Glut-CACNA1H-2|Glut-CACNA1H-3|Glut-CACNA1H-RA,0.9079050235368301,TRUE,0.3333333333333333
ALL,0.25,Glut-CACNA1H-RA,"Glut-CACNA1H-1, Glut-CACNA1H-2, Glut-CACNA1H-3",Glut-CACNA1H-1|Glut-CACNA1H-2|Glut-CACNA1H-3|Glut-CACNA1H-RA,0.86735925252552315,TRUE,0.3333333333333333
ALL,0.1,Glut-CACNA1H-RA,"Glut-CACNA1H-1, Glut-CACNA1H-2, Glut-CACNA1H-3",Glut-CACNA1H-1|Glut-CACNA1H-2|Glut-CACNA1H-3|Glut-CACNA1H-RA,0.6761037976410529,TRUE,0.3333333333333333
ALL,0.05,Glut-CACNA1H-RA,"Glut-CACNA1H-1, Glut-CACNA1H-2, Glut-CACNA1H-3, Glut-CACNA1H-4",Glut-CACNA1H-1|Glut-CACNA1H-2|Glut-CACNA1H-3|Glut-CACNA1H-4|Glut-CACNA1H-RA,0.7537529938882243,TRUE,0.25
ALL,0.01,Glut-CACNA1H-RA,"Glut-CACNA1H-1, Glut-CACNA1H-2, Glut-CACNA1H-3, Glut-CACNA1H-4",Glut-CACNA1H-1|Glut-CACNA1H-2|Glut-CACNA1H-3|Glut-CACNA1H-4|Glut-CACNA1H-RA,0.7382909222282013,TRUE,0.25
ALL,0.001,Glut-CACNA1H-RA,"Glut-CACNA1H-1, Glut-CACNA1H-2, Glut-CACNA1H-3, Glut-CACNA1H-4",Glut-CACNA1H-1|Glut-CACNA1H-2|Glut-CACNA1H-3|Glut-CACNA1H-4|Glut-CACNA1H-RA,0.9701271014641345,TRUE,0.25
ALL,none,Glut-CACNA1H-RA,"Glut-CACNA1H-1, Glut-CACNA1H-2, Glut-CACNA1H-3, Glut-CACNA1H-4",Glut-CACNA1H-1|Glut-CACNA1H-2|Glut-CACNA1H-3|Glut-CACNA1H-4|Glut-CACNA1H-RA,0.902422605289295,TRUE,0.25
ALL,0.5,Glut-DACH2-HVCra,Glut-DACH2-1,Glut-DACH2-1|Glut-DACH2-HVCra,0.9840313389409566,TRUE,1
ALL,0.25,Glut-DACH2-HVCra,Glut-DACH2-1,Glut-DACH2-1|Glut-DACH2-HVCra,0.991670619550251,TRUE,1
ALL,0.1,Glut-DACH2-HVCra,Glut-DACH2-1,Glut-DACH2-1|Glut-DACH2-HVCra,0.9636392399819464,TRUE,1
