region,threshold_label,song_cluster,sister,clade,au,song_nonsong,cell_bootstrap,au_pct,jaccard_vs_ref_threshold
ALL,0.5,Glut-CACNA1H-RA,"Glut-CACNA1H-1, Glut-CACNA1H-2, Glut-CACNA1H-3",Glut-CACNA1H-1|Glut-CACNA1H-2|Glut-CACNA1H-3|Glut-CACNA1H-RA,0.9079050235368301,TRUE,NA,90.79050235368301,1
ALL,0.25,Glut-CACNA1H-RA,"Glut-CACNA1H-1, Glut-CACNA1H-2, Glut-CACNA1H-3",Glut-CACNA1H-1|Glut-CACNA1H-2|Glut-CACNA1H-3|Glut-CACNA1H-RA,0.86735925252552315,TRUE,NA,86.73592525255232,1
ALL,0.1,Glut-CACNA1H-RA,"Glut-CACNA1H-1, Glut-CACNA1H-2, Glut-CACNA1H-3",Glut-CACNA1H-1|Glut-CACNA1H-2|Glut-CACNA1H-3|Glut-CACNA1H-RA,0.6761037976410529,TRUE,0.436,67.61037976410529,1
ALL,0.05,Glut-CACNA1H-RA,"Glut-CACNA1H-1, Glut-CACNA1H-2, Glut-CACNA1H-3, Glut-CACNA1H-4",Glut-CACNA1H-1|Glut-CACNA1H-2|Glut-CACNA1H-3|Glut-CACNA1H-4|Glut-CACNA1H-RA,0.7537529938882243,TRUE,NA,75.37529938882243,0.75
ALL,0.01,Glut-CACNA1H-RA,"Glut-CACNA1H-1, Glut-CACNA1H-2, Glut-CACNA1H-3, Glut-CACNA1H-4",Glut-CACNA1H-1|Glut-CACNA1H-2|Glut-CACNA1H-3|Glut-CACNA1H-4|Glut-CACNA1H-RA,0.7382909222282013,TRUE,NA,73.82909222282012,0.75
ALL,0.001,Glut-CACNA1H-RA,"Glut-CACNA1H-1, Glut-CACNA1H-2, Glut-CACNA1H-3, Glut-CACNA1H-4",Glut-CACNA1H-1|Glut-CACNA1H-2|Glut-CACNA1H-3|Glut-CACNA1H-4|Glut-CACNA1H-RA,0.9701271014641345,TRUE,NA,97.01271014641345,0.75
ALL,none,Glut-CACNA1H-RA,"Glut-CACNA1H-1, Glut-CACNA1H-2, Glut-CACNA1H-3, Glut-CACNA1H-4",Glut-CACNA1H-1|Glut-CACNA1H-2|Glut-CACNA1H-3|Glut-CACNA1H-4|Glut-CACNA1H-RA,0.902422605289295,TRUE,0.992,90.24226052892949,0.75
ALL,0.5,Glut-DACH2-HVCra,Glut-DACH2-1,Glut-DACH2-1|Glut-DACH2-HVCra,0.9840313389409566,TRUE,NA,98.40313389409566,1
ALL,0.25,Glut-DACH2-HVCra,Glut-DACH2-1,Glut-DACH2-1|Glut-DACH2-HVCra,0.991670619550251,TRUE,NA,99.1670619550251,1
ALL,0.1,Glut-DACH2-HVCra,Glut-DACH2-1,Glut-DACH2-1|Glut-DACH2-HVCra,0.9636392399819464,TRUE,1,96.36392399819465,1
ALL,0.05,Glut-DACH2-HVCra,Glut-DACH2-1,Glut-DACH2-1|Glut-DACH2-HVCra,0.9896007112075796,TRUE,NA,98.96007112075796,1
ALL,0.01,Glut-DACH2-HVCra,Glut-DACH2-1,Glut-DACH2-1|Glut-DACH2-HVCra,0.9998680827790047,TRUE,NA,99.98680827790048,1
ALL,0.001,Glut-DACH2-HVCra,Glut-DACH2-1,Glut-DACH2-1|Glut-DACH2-HVCra,0.9977487088947907,TRUE,NA,99.77487088947908,1
ALL,none,Glut-DACH2-HVCra,Glut-DACH2-1,Glut-DACH2-1|Glut-DACH2-HVCra,0.9997098539785918,TRUE,1,99.97098539785918,1
ALL,0.5,Glut-DACH2-HVCx,Glut-DACH2-4,Glut-DACH2-4|Glut-DACH2-HVCx,0.7015016423183775,TRUE,NA,70.15016423183775,0.5
ALL,0.25,Glut-DACH2-HVCx,"Glut-CACNA1H-4, Glut-DACH2-4",Glut-CACNA1H-4|Glut-DACH2-4|Glut-DACH2-HVCx,0.6648259476961662,TRUE,NA,66.48259476961663,1
ALL,0.1,Glut-DACH2-HVCx,"Glut-CACNA1H-4, Glut-DACH2-4",Glut-CACNA1H-4|Glut-DACH2-4|Glut-DACH2-HVCx,0.7074327490162189,TRUE,0.098,70.74327490162189,1
ALL,0.05,Glut-DACH2-HVCx,Glut-DACH2-4,Glut-DACH2-4|Glut-DACH2-HVCx,0.6548896255206621,TRUE,NA,65.48896255206621,0.5
