region,threshold_label,threshold,n_removed,n_features,n_edges,mean_au,median_au,n_au95,frac_au95
ARCO,0.5,0.5,794,205,4,0.9544930501323564,0.9553656742144492,2,0.5
ARCO,0.25,0.25,706,209,4,0.9745593280412368,0.974259131313902,3,0.75
ARCO,0.1,0.1,620,210,4,0.9714199420507055,0.9720334809084548,3,0.75
ARCO,0.05,0.05,569,259,4,0.9699954455149432,0.9724831469409809,2,0.5
ARCO,0.01,0.01,469,358,4,0.946670383184474,0.9474728289101512,2,0.5
ARCO,0.001,0.001,353,407,4,0.9567710802634972,0.9605682618628686,2,0.5
ARCO,none,NA,0,411,4,0.9178146107848477,0.9234840777260802,2,0.5
NIDO,0.5,0.5,960,439,11,0.8440064559853431,0.8436333274122005,3,0.2727272727272727
NIDO,0.25,0.25,831,450,11,0.8304911169108026,0.8368001105401673,2,0.18181818181818182
NIDO,0.1,0.1,688,458,11,0.857823843937005,0.8678023201831186,3,0.2727272727272727
NIDO,0.05,0.05,611,533,11,0.8337424101865273,0.8459779218202383,3,0.2727272727272727
NIDO,0.01,0.01,477,660,11,0.8980470725737107,0.9553231009635783,6,0.5454545454545454
NIDO,0.001,0.001,334,792,11,0.908543669641504,0.9570436553770306,7,0.6363636363636364
NIDO,none,NA,0,967,11,0.8797402831710462,0.9712635062452895,7,0.6363636363636364
