soup_batch,celltype,n_pb,n_lib,n_ind,n_cells,rank_reduced,df_residual,use_depth,testable
batch1,Astro-1,3,1,3,752,3,0,FALSE,FALSE
batch1,Astro-2,9,3,3,772,5,4,TRUE,TRUE
batch1,Epen,2,1,2,122,2,0,FALSE,FALSE
batch1,GABA-1-1,9,3,3,811,5,4,TRUE,TRUE
batch1,GABA-1-2,3,1,3,240,3,0,FALSE,FALSE
batch1,GABA-2-1,6,2,3,507,4,2,FALSE,TRUE
batch1,GABA-2-2,5,2,3,288,4,1,FALSE,FALSE
batch1,GABA-2-3,4,3,2,95,4,0,FALSE,FALSE
batch1,GABA-3,9,3,3,569,5,4,TRUE,TRUE
batch1,GABA-4-1,6,2,3,472,4,2,FALSE,TRUE
batch1,GABA-4-2,2,1,2,88,2,0,FALSE,FALSE
batch1,GABA-5-1,5,2,3,193,4,1,FALSE,FALSE
batch1,GABA-5-2,3,1,3,135,3,0,FALSE,FALSE
batch1,GABA-6,3,1,3,193,3,0,FALSE,FALSE
batch1,GABA-7,1,1,1,23,1,0,FALSE,FALSE
batch1,GABA-8,1,1,1,25,1,0,FALSE,FALSE
batch1,GABA-Im,3,2,2,81,3,0,FALSE,FALSE
batch1,Glut-CACNA1H-1,3,1,3,891,3,0,FALSE,FALSE
batch1,Glut-CACNA1H-2,3,1,3,735,3,0,FALSE,FALSE
batch1,Glut-CACNA1H-3,3,1,3,390,3,0,FALSE,FALSE
batch1,Glut-CACNA1H-4,2,1,2,166,2,0,FALSE,FALSE
batch1,Glut-CACNA1H-RA,3,1,3,1196,3,0,FALSE,FALSE
batch1,Glut-DACH2-1,3,1,3,1846,3,0,FALSE,FALSE
batch1,Glut-DACH2-2,6,2,3,944,4,2,FALSE,TRUE
batch1,Glut-DACH2-3,3,1,3,697,3,0,FALSE,FALSE
batch1,Glut-DACH2-4,3,1,3,201,3,0,FALSE,FALSE
batch1,Glut-DACH2-5,3,1,3,130,3,0,FALSE,FALSE
batch1,Glut-DACH2-HVCra,3,1,3,3017,3,0,FALSE,FALSE
batch1,Glut-DACH2-HVCra-Int,3,1,3,664,3,0,FALSE,FALSE
batch1,Glut-DACH2-HVCx,3,1,3,341,3,0,FALSE,FALSE
batch1,Glut-GABA,4,2,2,117,3,1,FALSE,FALSE
batch1,Glut-Im,3,1,3,319,3,0,FALSE,FALSE
batch1,Glut-NB,3,1,3,434,3,0,FALSE,FALSE
batch1,Glut-NSC,3,1,3,224,3,0,FALSE,FALSE
batch1,OPC,3,1,3,277,3,0,FALSE,FALSE
batch1,Oligo-1,3,1,3,474,3,0,FALSE,FALSE
batch1,Oligo-2,5,2,3,271,4,1,FALSE,FALSE
batch1,Oligo-3,1,1,1,29,1,0,FALSE,FALSE
batch2,Astro-3,6,2,3,818,4,2,FALSE,TRUE
batch2,GABA-1-1,6,2,3,824,4,2,FALSE,TRUE
batch2,GABA-1-2,2,1,2,110,2,0,FALSE,FALSE
batch2,GABA-2-2,2,1,2,112,2,0,FALSE,FALSE
batch2,GABA-2-3,3,1,3,160,3,0,FALSE,FALSE
batch2,GABA-3,3,1,3,261,3,0,FALSE,FALSE
batch2,GABA-4-1,1,1,1,20,1,0,FALSE,FALSE
batch2,GABA-4-2,3,1,3,316,3,0,FALSE,FALSE
batch2,GABA-5-1,2,2,1,48,2,0,FALSE,FALSE
batch2,GABA-5-2,2,2,2,59,3,-1,FALSE,FALSE
batch2,GABA-6,4,2,3,104,4,0,FALSE,FALSE
batch2,GABA-7,1,1,1,28,1,0,FALSE,FALSE
batch2,GABA-8,1,1,1,27,1,0,FALSE,FALSE
batch2,GABA-Im,1,1,1,20,1,0,FALSE,FALSE
batch2,Glut-DACH2-1,3,1,3,167,3,0,FALSE,FALSE
batch2,Glut-DACH2-5,3,1,3,953,3,0,FALSE,FALSE
batch2,Glut-DACH2-6,3,1,3,709,3,0,FALSE,FALSE
batch2,Glut-DACH2-7,3,1,3,804,3,0,FALSE,FALSE
batch2,Glut-DACH2-8,6,2,3,670,4,2,FALSE,TRUE
batch2,Glut-DACH2-LMANco,3,1,3,679,3,0,FALSE,FALSE
batch2,Glut-DACH2-LMANsh,3,1,3,1136,3,0,FALSE,FALSE
batch2,Glut-GABA,3,2,3,114,4,-1,FALSE,FALSE
batch2,Glut-Im,3,1,3,520,3,0,FALSE,FALSE
batch2,Glut-SATB2-1,2,1,2,373,2,0,FALSE,FALSE
batch2,OPC,4,2,3,142,4,0,FALSE,FALSE
batch2,Oligo-1,3,1,3,270,3,0,FALSE,FALSE
