soup_batch,soup_library,individual,celltype,n_cells,prop
batch1,arco_run1,bird1,Astro-1,24,0.016494845360824743
batch1,arco_run1,bird1,Astro-2,36,0.024742268041237112
batch1,arco_run1,bird1,Astro-3,0,0
batch1,arco_run1,bird1,Endo,1,6.872852233676976e-4
batch1,arco_run1,bird1,Epen,0,0
batch1,arco_run1,bird1,GABA-1-1,41,0.028178694158075602
batch1,arco_run1,bird1,GABA-1-2,23,0.015807560137457044
batch1,arco_run1,bird1,GABA-2-1,99,0.06804123711340206
batch1,arco_run1,bird1,GABA-2-2,6,0.004123711340206186
batch1,arco_run1,bird1,GABA-2-3,1,6.872852233676976e-4
batch1,arco_run1,bird1,GABA-3,52,0.03573883161512027
batch1,arco_run1,bird1,GABA-4-1,89,0.061168384879725084
batch1,arco_run1,bird1,GABA-4-2,0,0
batch1,arco_run1,bird1,GABA-5-1,30,0.020618556701030927
batch1,arco_run1,bird1,GABA-5-2,46,0.03161512027491409
batch1,arco_run1,bird1,GABA-6,66,0.04536082474226804
batch1,arco_run1,bird1,GABA-7,6,0.004123711340206186
batch1,arco_run1,bird1,GABA-8,14,0.009621993127147767
batch1,arco_run1,bird1,GABA-Im,23,0.015807560137457044
batch1,arco_run1,bird1,Glut-CACNA1H-1,283,0.19450171821305842
batch1,arco_run1,bird1,Glut-CACNA1H-2,163,0.11202749140893471
batch1,arco_run1,bird1,Glut-CACNA1H-3,55,0.037800687285223365
batch1,arco_run1,bird1,Glut-CACNA1H-4,140,0.09621993127147767
batch1,arco_run1,bird1,Glut-CACNA1H-RA,6,0.004123711340206186
batch1,arco_run1,bird1,Glut-DACH2-1,123,0.08453608247422681
batch1,arco_run1,bird1,Glut-DACH2-2,10,0.006872852233676976
batch1,arco_run1,bird1,Glut-DACH2-3,1,6.872852233676976e-4
batch1,arco_run1,bird1,Glut-DACH2-4,5,0.003436426116838488
batch1,arco_run1,bird1,Glut-DACH2-5,0,0
batch1,arco_run1,bird1,Glut-DACH2-6,0,0
batch1,arco_run1,bird1,Glut-DACH2-7,0,0
batch1,arco_run1,bird1,Glut-DACH2-8,0,0
batch1,arco_run1,bird1,Glut-DACH2-HVCra,0,0
batch1,arco_run1,bird1,Glut-DACH2-HVCra-Pre,3,0.002061855670103093
batch1,arco_run1,bird1,Glut-DACH2-HVCx,0,0
batch1,arco_run1,bird1,Glut-DACH2-LMANco,0,0
batch1,arco_run1,bird1,Glut-DACH2-LMANsh,0,0
batch1,arco_run1,bird1,Glut-GABA,5,0.003436426116838488
batch1,arco_run1,bird1,Glut-Im,36,0.024742268041237112
batch1,arco_run1,bird1,Glut-NB,2,0.0013745704467353953
batch1,arco_run1,bird1,Glut-NSC,0,0
batch1,arco_run1,bird1,Glut-SATB2-1,0,0
batch1,arco_run1,bird1,Micro,2,0.0013745704467353953
batch1,arco_run1,bird1,Oligo-1,2,0.0013745704467353953
batch1,arco_run1,bird1,Oligo-2,16,0.010996563573883162
batch1,arco_run1,bird1,Oligo-3,8,0.005498281786941581
batch1,arco_run1,bird1,OPC,38,0.02611683848797251
batch1,arco_run1,bird2,Astro-1,9,0.00405588102748986
batch1,arco_run1,bird2,Astro-2,142,0.06399278954484001
batch1,arco_run1,bird2,Astro-3,0,0
batch1,arco_run1,bird2,Endo,3,0.0013519603424966202
batch1,arco_run1,bird2,Epen,1,4.506534474988734e-4
batch1,arco_run1,bird2,GABA-1-1,73,0.032897701667417754
batch1,arco_run1,bird2,GABA-1-2,30,0.013519603424966201
batch1,arco_run1,bird2,GABA-2-1,166,0.07480847228481298
batch1,arco_run1,bird2,GABA-2-2,7,0.0031545741324921135
batch1,arco_run1,bird2,GABA-2-3,1,4.506534474988734e-4
batch1,arco_run1,bird2,GABA-3,76,0.034249662009914375
batch1,arco_run1,bird2,GABA-4-1,157,0.07075259125732312
batch1,arco_run1,bird2,GABA-4-2,0,0
batch1,arco_run1,bird2,GABA-5-1,55,0.024785939612438034
batch1,arco_run1,bird2,GABA-5-2,68,0.03064443442992339
batch1,arco_run1,bird2,GABA-6,91,0.04100946372239748
batch1,arco_run1,bird2,GABA-7,10,0.004506534474988734
batch1,arco_run1,bird2,GABA-8,14,0.006309148264984227
batch1,arco_run1,bird2,GABA-Im,33,0.014871563767462822
batch1,arco_run1,bird2,Glut-CACNA1H-1,362,0.16313654799459215
batch1,arco_run1,bird2,Glut-CACNA1H-2,486,0.21901757548445244
batch1,arco_run1,bird2,Glut-CACNA1H-3,258,0.11626858945470933
batch1,arco_run1,bird2,Glut-CACNA1H-4,26,0.011716989634970707
batch1,arco_run1,bird2,Glut-CACNA1H-RA,10,0.004506534474988734
batch1,arco_run1,bird2,Glut-DACH2-1,15,0.0067598017124831005
batch1,arco_run1,bird2,Glut-DACH2-2,0,0
batch1,arco_run1,bird2,Glut-DACH2-3,2,9.013068949977468e-4
batch1,arco_run1,bird2,Glut-DACH2-4,0,0
batch1,arco_run1,bird2,Glut-DACH2-5,0,0
batch1,arco_run1,bird2,Glut-DACH2-6,0,0
batch1,arco_run1,bird2,Glut-DACH2-7,0,0
batch1,arco_run1,bird2,Glut-DACH2-8,0,0
batch1,arco_run1,bird2,Glut-DACH2-HVCra,0,0
batch1,arco_run1,bird2,Glut-DACH2-HVCra-Pre,0,0
batch1,arco_run1,bird2,Glut-DACH2-HVCx,0,0
batch1,arco_run1,bird2,Glut-DACH2-LMANco,0,0
batch1,arco_run1,bird2,Glut-DACH2-LMANsh,0,0
batch1,arco_run1,bird2,Glut-GABA,3,0.0013519603424966202
batch1,arco_run1,bird2,Glut-Im,1,4.506534474988734e-4
batch1,arco_run1,bird2,Glut-NB,0,0
batch1,arco_run1,bird2,Glut-NSC,0,0
batch1,arco_run1,bird2,Glut-SATB2-1,0,0
batch1,arco_run1,bird2,Micro,0,0
batch1,arco_run1,bird2,Oligo-1,4,0.0018026137899954935
batch1,arco_run1,bird2,Oligo-2,49,0.022082018927444796
batch1,arco_run1,bird2,Oligo-3,4,0.0018026137899954935
batch1,arco_run1,bird2,OPC,63,0.028391167192429023
batch1,arco_run1,bird3,Astro-1,13,0.015294117647058824
batch1,arco_run1,bird3,Astro-2,33,0.03882352941176471
batch1,arco_run1,bird3,Astro-3,0,0
batch1,arco_run1,bird3,Endo,0,0
batch1,arco_run1,bird3,Epen,0,0
batch1,arco_run1,bird3,GABA-1-1,29,0.03411764705882353
batch1,arco_run1,bird3,GABA-1-2,6,0.007058823529411765
batch1,arco_run1,bird3,GABA-2-1,68,0.08
batch1,arco_run1,bird3,GABA-2-2,1,0.001176470588235294
batch1,arco_run1,bird3,GABA-2-3,0,0
batch1,arco_run1,bird3,GABA-3,35,0.041176470588235294
batch1,arco_run1,bird3,GABA-4-1,67,0.07882352941176471
batch1,arco_run1,bird3,GABA-4-2,1,0.001176470588235294
batch1,arco_run1,bird3,GABA-5-1,6,0.007058823529411765
batch1,arco_run1,bird3,GABA-5-2,21,0.024705882352941175
batch1,arco_run1,bird3,GABA-6,36,0.042352941176470586
batch1,arco_run1,bird3,GABA-7,3,0.0035294117647058825
batch1,arco_run1,bird3,GABA-8,6,0.007058823529411765
batch1,arco_run1,bird3,GABA-Im,15,0.01764705882352941
batch1,arco_run1,bird3,Glut-CACNA1H-1,246,0.28941176470588237
batch1,arco_run1,bird3,Glut-CACNA1H-2,86,0.1011764705882353
batch1,arco_run1,bird3,Glut-CACNA1H-3,77,0.09058823529411765
batch1,arco_run1,bird3,Glut-CACNA1H-4,18,0.021176470588235293
batch1,arco_run1,bird3,Glut-CACNA1H-RA,6,0.007058823529411765
batch1,arco_run1,bird3,Glut-DACH2-1,27,0.03176470588235294
batch1,arco_run1,bird3,Glut-DACH2-2,0,0
batch1,arco_run1,bird3,Glut-DACH2-3,2,0.002352941176470588
batch1,arco_run1,bird3,Glut-DACH2-4,0,0
batch1,arco_run1,bird3,Glut-DACH2-5,0,0
batch1,arco_run1,bird3,Glut-DACH2-6,0,0
batch1,arco_run1,bird3,Glut-DACH2-7,0,0
batch1,arco_run1,bird3,Glut-DACH2-8,0,0
batch1,arco_run1,bird3,Glut-DACH2-HVCra,0,0
batch1,arco_run1,bird3,Glut-DACH2-HVCra-Pre,0,0
batch1,arco_run1,bird3,Glut-DACH2-HVCx,0,0
batch1,arco_run1,bird3,Glut-DACH2-LMANco,0,0
batch1,arco_run1,bird3,Glut-DACH2-LMANsh,0,0
batch1,arco_run1,bird3,Glut-GABA,1,0.001176470588235294
batch1,arco_run1,bird3,Glut-Im,2,0.002352941176470588
batch1,arco_run1,bird3,Glut-NB,1,0.001176470588235294
batch1,arco_run1,bird3,Glut-NSC,0,0
batch1,arco_run1,bird3,Glut-SATB2-1,0,0
batch1,arco_run1,bird3,Micro,1,0.001176470588235294
batch1,arco_run1,bird3,Oligo-1,3,0.0035294117647058825
batch1,arco_run1,bird3,Oligo-2,21,0.024705882352941175
batch1,arco_run1,bird3,Oligo-3,3,0.0035294117647058825
batch1,arco_run1,bird3,OPC,16,0.018823529411764704
batch1,hvc_run1,bird1,Astro-1,210,0.05192878338278932
batch1,hvc_run1,bird1,Astro-2,87,0.021513353115727003
batch1,hvc_run1,bird1,Astro-3,0,0
batch1,hvc_run1,bird1,Endo,4,9.891196834817012e-4
batch1,hvc_run1,bird1,Epen,87,0.021513353115727003
batch1,hvc_run1,bird1,GABA-1-1,139,0.03437190900098912
batch1,hvc_run1,bird1,GABA-1-2,45,0.01112759643916914
batch1,hvc_run1,bird1,GABA-2-1,34,0.008407517309594461
batch1,hvc_run1,bird1,GABA-2-2,91,0.022502472799208705
batch1,hvc_run1,bird1,GABA-2-3,26,0.006429277942631058
batch1,hvc_run1,bird1,GABA-3,94,0.02324431256181998
batch1,hvc_run1,bird1,GABA-4-1,38,0.009396636993076163
batch1,hvc_run1,bird1,GABA-4-2,11,0.0027200791295746785
batch1,hvc_run1,bird1,GABA-5-1,21,0.0051928783382789315
batch1,hvc_run1,bird1,GABA-5-2,22,0.005440158259149357
batch1,hvc_run1,bird1,GABA-6,14,0.0034619188921859545
batch1,hvc_run1,bird1,GABA-7,15,0.00370919881305638
batch1,hvc_run1,bird1,GABA-8,18,0.004451038575667656
batch1,hvc_run1,bird1,GABA-Im,14,0.0034619188921859545
batch1,hvc_run1,bird1,Glut-CACNA1H-1,0,0
batch1,hvc_run1,bird1,Glut-CACNA1H-2,0,0
batch1,hvc_run1,bird1,Glut-CACNA1H-3,0,0
batch1,hvc_run1,bird1,Glut-CACNA1H-4,0,0
batch1,hvc_run1,bird1,Glut-CACNA1H-RA,0,0
batch1,hvc_run1,bird1,Glut-DACH2-1,170,0.0420375865479723
batch1,hvc_run1,bird1,Glut-DACH2-2,178,0.044015825914935705
batch1,hvc_run1,bird1,Glut-DACH2-3,13,0.003214638971315529
batch1,hvc_run1,bird1,Glut-DACH2-4,17,0.0042037586547972305
batch1,hvc_run1,bird1,Glut-DACH2-5,15,0.00370919881305638
batch1,hvc_run1,bird1,Glut-DACH2-6,0,0
batch1,hvc_run1,bird1,Glut-DACH2-7,0,0
batch1,hvc_run1,bird1,Glut-DACH2-8,0,0
batch1,hvc_run1,bird1,Glut-DACH2-HVCra,1690,0.4179030662710188
batch1,hvc_run1,bird1,Glut-DACH2-HVCra-Pre,264,0.06528189910979229
batch1,hvc_run1,bird1,Glut-DACH2-HVCx,163,0.04030662710187933
batch1,hvc_run1,bird1,Glut-DACH2-LMANco,0,0
batch1,hvc_run1,bird1,Glut-DACH2-LMANsh,0,0
batch1,hvc_run1,bird1,Glut-GABA,34,0.008407517309594461
batch1,hvc_run1,bird1,Glut-Im,30,0.00741839762611276
batch1,hvc_run1,bird1,Glut-NB,191,0.04723046488625124
batch1,hvc_run1,bird1,Glut-NSC,95,0.023491592482690407
batch1,hvc_run1,bird1,Glut-SATB2-1,2,4.945598417408506e-4
batch1,hvc_run1,bird1,Micro,8,0.0019782393669634025
batch1,hvc_run1,bird1,Oligo-1,3,7.41839762611276e-4
batch1,hvc_run1,bird1,Oligo-2,130,0.03214638971315529
batch1,hvc_run1,bird1,Oligo-3,6,0.001483679525222552
batch1,hvc_run1,bird1,OPC,65,0.016073194856577645
batch1,hvc_run1,bird2,Astro-1,25,0.016025641025641024
batch1,hvc_run1,bird2,Astro-2,79,0.05064102564102564
batch1,hvc_run1,bird2,Astro-3,3,0.0019230769230769232
batch1,hvc_run1,bird2,Endo,0,0
batch1,hvc_run1,bird2,Epen,18,0.011538461538461539
batch1,hvc_run1,bird2,GABA-1-1,61,0.0391025641025641
batch1,hvc_run1,bird2,GABA-1-2,22,0.014102564102564103
batch1,hvc_run1,bird2,GABA-2-1,14,0.008974358974358974
batch1,hvc_run1,bird2,GABA-2-2,38,0.02435897435897436
batch1,hvc_run1,bird2,GABA-2-3,5,0.003205128205128205
batch1,hvc_run1,bird2,GABA-3,35,0.022435897435897436
batch1,hvc_run1,bird2,GABA-4-1,5,0.003205128205128205
batch1,hvc_run1,bird2,GABA-4-2,12,0.007692307692307693
batch1,hvc_run1,bird2,GABA-5-1,6,0.0038461538461538464
batch1,hvc_run1,bird2,GABA-5-2,5,0.003205128205128205
batch1,hvc_run1,bird2,GABA-6,8,0.005128205128205128
batch1,hvc_run1,bird2,GABA-7,1,6.41025641025641e-4
batch1,hvc_run1,bird2,GABA-8,4,0.002564102564102564
batch1,hvc_run1,bird2,GABA-Im,7,0.004487179487179487
batch1,hvc_run1,bird2,Glut-CACNA1H-1,0,0
batch1,hvc_run1,bird2,Glut-CACNA1H-2,0,0
batch1,hvc_run1,bird2,Glut-CACNA1H-3,0,0
batch1,hvc_run1,bird2,Glut-CACNA1H-4,0,0
batch1,hvc_run1,bird2,Glut-CACNA1H-RA,0,0
batch1,hvc_run1,bird2,Glut-DACH2-1,34,0.021794871794871794
batch1,hvc_run1,bird2,Glut-DACH2-2,94,0.06025641025641026
batch1,hvc_run1,bird2,Glut-DACH2-3,1,6.41025641025641e-4
batch1,hvc_run1,bird2,Glut-DACH2-4,14,0.008974358974358974
batch1,hvc_run1,bird2,Glut-DACH2-5,1,6.41025641025641e-4
batch1,hvc_run1,bird2,Glut-DACH2-6,0,0
batch1,hvc_run1,bird2,Glut-DACH2-7,4,0.002564102564102564
batch1,hvc_run1,bird2,Glut-DACH2-8,0,0
batch1,hvc_run1,bird2,Glut-DACH2-HVCra,594,0.38076923076923075
batch1,hvc_run1,bird2,Glut-DACH2-HVCra-Pre,151,0.0967948717948718
batch1,hvc_run1,bird2,Glut-DACH2-HVCx,81,0.051923076923076926
batch1,hvc_run1,bird2,Glut-DACH2-LMANco,0,0
batch1,hvc_run1,bird2,Glut-DACH2-LMANsh,0,0
batch1,hvc_run1,bird2,Glut-GABA,11,0.007051282051282051
batch1,hvc_run1,bird2,Glut-Im,10,0.00641025641025641
batch1,hvc_run1,bird2,Glut-NB,94,0.06025641025641026
batch1,hvc_run1,bird2,Glut-NSC,67,0.04294871794871795
batch1,hvc_run1,bird2,Glut-SATB2-1,0,0
batch1,hvc_run1,bird2,Micro,5,0.003205128205128205
batch1,hvc_run1,bird2,Oligo-1,0,0
batch1,hvc_run1,bird2,Oligo-2,34,0.021794871794871794
batch1,hvc_run1,bird2,Oligo-3,1,6.41025641025641e-4
batch1,hvc_run1,bird2,OPC,16,0.010256410256410256
batch1,hvc_run1,bird3,Astro-1,71,0.03009749894022891
batch1,hvc_run1,bird3,Astro-2,89,0.037727850784230604
batch1,hvc_run1,bird3,Astro-3,0,0
batch1,hvc_run1,bird3,Endo,3,0.001271725307333616
batch1,hvc_run1,bird3,Epen,35,0.01483679525222552
batch1,hvc_run1,bird3,GABA-1-1,106,0.04493429419245443
batch1,hvc_run1,bird3,GABA-1-2,35,0.01483679525222552
batch1,hvc_run1,bird3,GABA-2-1,25,0.0105977108944468
batch1,hvc_run1,bird3,GABA-2-2,58,0.024586689275116574
batch1,hvc_run1,bird3,GABA-2-3,10,0.00423908435777872
batch1,hvc_run1,bird3,GABA-3,57,0.024162780839338704
batch1,hvc_run1,bird3,GABA-4-1,18,0.007630351844001695
batch1,hvc_run1,bird3,GABA-4-2,10,0.00423908435777872
batch1,hvc_run1,bird3,GABA-5-1,6,0.002543450614667232
batch1,hvc_run1,bird3,GABA-5-2,18,0.007630351844001695
batch1,hvc_run1,bird3,GABA-6,9,0.0038151759220008477
batch1,hvc_run1,bird3,GABA-7,10,0.00423908435777872
batch1,hvc_run1,bird3,GABA-8,6,0.002543450614667232
batch1,hvc_run1,bird3,GABA-Im,12,0.005086901229334464
batch1,hvc_run1,bird3,Glut-CACNA1H-1,0,0
batch1,hvc_run1,bird3,Glut-CACNA1H-2,0,0
batch1,hvc_run1,bird3,Glut-CACNA1H-3,0,0
batch1,hvc_run1,bird3,Glut-CACNA1H-4,0,0
batch1,hvc_run1,bird3,Glut-CACNA1H-RA,0,0
batch1,hvc_run1,bird3,Glut-DACH2-1,121,0.05129292072912251
batch1,hvc_run1,bird3,Glut-DACH2-2,207,0.0877490462060195
batch1,hvc_run1,bird3,Glut-DACH2-3,5,0.00211954217888936
batch1,hvc_run1,bird3,Glut-DACH2-4,22,0.009325985587113183
batch1,hvc_run1,bird3,Glut-DACH2-5,3,0.001271725307333616
batch1,hvc_run1,bird3,Glut-DACH2-6,1,4.23908435777872e-4
batch1,hvc_run1,bird3,Glut-DACH2-7,1,4.23908435777872e-4
batch1,hvc_run1,bird3,Glut-DACH2-8,0,0
batch1,hvc_run1,bird3,Glut-DACH2-HVCra,733,0.3107248834251802
batch1,hvc_run1,bird3,Glut-DACH2-HVCra-Pre,249,0.10555320050869012
batch1,hvc_run1,bird3,Glut-DACH2-HVCx,97,0.04111911827045358
batch1,hvc_run1,bird3,Glut-DACH2-LMANco,0,0
batch1,hvc_run1,bird3,Glut-DACH2-LMANsh,0,0
batch1,hvc_run1,bird3,Glut-GABA,23,0.009749894022891056
batch1,hvc_run1,bird3,Glut-Im,31,0.01314116150911403
batch1,hvc_run1,bird3,Glut-NB,149,0.06316235693090293
batch1,hvc_run1,bird3,Glut-NSC,62,0.02628232301822806
batch1,hvc_run1,bird3,Glut-SATB2-1,0,0
batch1,hvc_run1,bird3,Micro,8,0.003391267486222976
batch1,hvc_run1,bird3,Oligo-1,1,4.23908435777872e-4
batch1,hvc_run1,bird3,Oligo-2,37,0.015684612123781264
batch1,hvc_run1,bird3,Oligo-3,3,0.001271725307333616
batch1,hvc_run1,bird3,OPC,28,0.011869436201780416
batch1,nc_run1,bird1,Astro-1,6,0.002070393374741201
batch1,nc_run1,bird1,Astro-2,132,0.045548654244306416
batch1,nc_run1,bird1,Astro-3,0,0
batch1,nc_run1,bird1,Endo,7,0.0024154589371980675
batch1,nc_run1,bird1,Epen,0,0
batch1,nc_run1,bird1,GABA-1-1,178,0.06142167011732229
batch1,nc_run1,bird1,GABA-1-2,113,0.03899240855762595
batch1,nc_run1,bird1,GABA-2-1,32,0.011042097998619738
batch1,nc_run1,bird1,GABA-2-2,70,0.024154589371980676
batch1,nc_run1,bird1,GABA-2-3,28,0.00966183574879227
batch1,nc_run1,bird1,GABA-3,111,0.038302277432712216
batch1,nc_run1,bird1,GABA-4-1,10,0.003450655624568668
batch1,nc_run1,bird1,GABA-4-2,0,0
batch1,nc_run1,bird1,GABA-5-1,19,0.006556245686680469
batch1,nc_run1,bird1,GABA-5-2,41,0.014147688060731538
batch1,nc_run1,bird1,GABA-6,21,0.007246376811594203
batch1,nc_run1,bird1,GABA-7,23,0.007936507936507936
batch1,nc_run1,bird1,GABA-8,25,0.00862663906142167
