soup_batch,soup_library,individual,n
batch1,arco_run1,bird1,1455
batch1,arco_run1,bird2,2219
batch1,arco_run1,bird3,850
batch1,hvc_run1,bird1,4044
batch1,hvc_run1,bird2,1560
batch1,hvc_run1,bird3,2359
batch1,nc_run1,bird1,2898
batch1,nc_run1,bird2,1193
batch1,nc_run1,bird3,1731
batch1,ra_run1,bird1,1916
batch1,ra_run1,bird2,1050
batch1,ra_run1,bird3,1428
batch2,lman_run1,bird4,2073
batch2,lman_run1,bird5,742
batch2,lman_run1,bird6,2081
batch2,nr_run1,bird4,718
batch2,nr_run1,bird5,2254
batch2,nr_run1,bird6,3065
