celltype,soup_batch,soup_library,individual,n_cells,pb_id,total_counts
Astro-1,batch1,ra_run1,bird1,324,pb0001,673818
Astro-1,batch1,ra_run1,bird2,162,pb0002,313775
Astro-1,batch1,ra_run1,bird3,266,pb0003,477369
Astro-1,batch2,nr_run1,bird4,1,pb0004,2994
Astro-1,batch2,nr_run1,bird5,1,pb0005,3365
Astro-1,batch2,nr_run1,bird6,6,pb0006,18245
Astro-2,batch1,arco_run1,bird1,36,pb0007,45171
Astro-2,batch1,arco_run1,bird2,142,pb0008,199135
Astro-2,batch1,arco_run1,bird3,33,pb0009,44889
Astro-2,batch1,hvc_run1,bird1,87,pb0010,149038
Astro-2,batch1,hvc_run1,bird2,79,pb0011,147430
Astro-2,batch1,hvc_run1,bird3,89,pb0012,165673
Astro-2,batch1,nc_run1,bird1,132,pb0013,245800
Astro-2,batch1,nc_run1,bird2,78,pb0014,201774
Astro-2,batch1,nc_run1,bird3,96,pb0015,183464
Astro-2,batch2,lman_run1,bird4,11,pb0016,37266
Astro-2,batch2,lman_run1,bird5,8,pb0017,17925
Astro-2,batch2,lman_run1,bird6,2,pb0018,9583
Astro-3,batch1,nc_run1,bird2,5,pb0019,15329
Astro-3,batch1,nc_run1,bird3,2,pb0020,3117
Astro-3,batch2,lman_run1,bird4,179,pb0021,375299
Astro-3,batch2,lman_run1,bird5,60,pb0022,120724
Astro-3,batch2,lman_run1,bird6,238,pb0023,468131
Astro-3,batch2,nr_run1,bird4,46,pb0024,84499
Astro-3,batch2,nr_run1,bird5,132,pb0025,250509
Astro-3,batch2,nr_run1,bird6,163,pb0026,290329
Endo,batch1,nc_run1,bird1,7,pb0027,13481
Endo,batch1,nc_run1,bird2,19,pb0028,58450
Endo,batch1,nc_run1,bird3,1,pb0029,2748
Endo,batch1,ra_run1,bird1,5,pb0030,23286
Endo,batch1,ra_run1,bird2,5,pb0031,51325
Endo,batch1,ra_run1,bird3,5,pb0032,41952
Endo,batch2,lman_run1,bird4,8,pb0033,24012
Endo,batch2,lman_run1,bird5,1,pb0034,1102
Endo,batch2,lman_run1,bird6,3,pb0035,8323
Endo,batch2,nr_run1,bird4,2,pb0036,3280
Endo,batch2,nr_run1,bird5,3,pb0037,17201
Endo,batch2,nr_run1,bird6,4,pb0038,14433
Epen,batch1,hvc_run1,bird1,87,pb0039,195509
Epen,batch1,hvc_run1,bird2,18,pb0040,64013
Epen,batch1,hvc_run1,bird3,35,pb0041,88876
GABA-1-1,batch1,arco_run1,bird1,41,pb0042,63870
GABA-1-1,batch1,arco_run1,bird2,73,pb0043,126155
GABA-1-1,batch1,arco_run1,bird3,29,pb0044,42932
GABA-1-1,batch1,hvc_run1,bird1,139,pb0045,395757
GABA-1-1,batch1,hvc_run1,bird2,61,pb0046,156251
GABA-1-1,batch1,hvc_run1,bird3,106,pb0047,275755
GABA-1-1,batch1,nc_run1,bird1,178,pb0048,454725
GABA-1-1,batch1,nc_run1,bird2,76,pb0049,268127
GABA-1-1,batch1,nc_run1,bird3,108,pb0050,287822
GABA-1-1,batch2,lman_run1,bird4,132,pb0051,320235
GABA-1-1,batch2,lman_run1,bird5,44,pb0052,109150
GABA-1-1,batch2,lman_run1,bird6,124,pb0053,305266
GABA-1-1,batch2,nr_run1,bird4,56,pb0054,136937
GABA-1-1,batch2,nr_run1,bird5,197,pb0055,499366
GABA-1-1,batch2,nr_run1,bird6,271,pb0056,663098
GABA-1-2,batch1,nc_run1,bird1,113,pb0057,274492
GABA-1-2,batch1,nc_run1,bird2,60,pb0058,145770
GABA-1-2,batch1,nc_run1,bird3,67,pb0059,149589
GABA-1-2,batch2,nr_run1,bird4,13,pb0060,26956
GABA-1-2,batch2,nr_run1,bird5,52,pb0061,112997
GABA-1-2,batch2,nr_run1,bird6,58,pb0062,108934
GABA-2-1,batch1,arco_run1,bird1,99,pb0063,279063
GABA-2-1,batch1,arco_run1,bird2,166,pb0064,475662
GABA-2-1,batch1,arco_run1,bird3,68,pb0065,178164
GABA-2-1,batch1,ra_run1,bird1,75,pb0066,425113
GABA-2-1,batch1,ra_run1,bird2,49,pb0067,227363
GABA-2-1,batch1,ra_run1,bird3,50,pb0068,226746
GABA-2-1,batch2,lman_run1,bird4,8,pb0069,35185
GABA-2-1,batch2,lman_run1,bird6,5,pb0070,17750
GABA-2-1,batch2,nr_run1,bird4,7,pb0071,26994
GABA-2-1,batch2,nr_run1,bird5,8,pb0072,45298
GABA-2-1,batch2,nr_run1,bird6,17,pb0073,56180
GABA-2-2,batch1,hvc_run1,bird1,91,pb0074,348612
GABA-2-2,batch1,hvc_run1,bird2,38,pb0075,136436
GABA-2-2,batch1,hvc_run1,bird3,58,pb0076,207208
GABA-2-2,batch1,nc_run1,bird1,70,pb0077,271513
GABA-2-2,batch1,nc_run1,bird2,31,pb0078,118747
GABA-2-2,batch1,nc_run1,bird3,19,pb0079,91568
GABA-2-2,batch2,nr_run1,bird4,13,pb0080,37267
GABA-2-2,batch2,nr_run1,bird5,46,pb0081,155705
GABA-2-2,batch2,nr_run1,bird6,66,pb0082,202053
GABA-2-3,batch1,hvc_run1,bird1,26,pb0083,140541
GABA-2-3,batch1,hvc_run1,bird2,5,pb0084,31934
GABA-2-3,batch1,hvc_run1,bird3,10,pb0085,61686
GABA-2-3,batch1,nc_run1,bird1,28,pb0086,116529
GABA-2-3,batch1,nc_run1,bird2,7,pb0087,30779
GABA-2-3,batch1,nc_run1,bird3,21,pb0088,90584
