soup_batch,soup_library,celltype,n_birds,n_folds_total,n_cells
batch1,arco_run1,GABA-2-1,3,9,333
batch1,arco_run1,GABA-4-1,3,9,313
batch1,arco_run1,Glut-CACNA1H-1,3,9,891
batch1,arco_run1,Glut-CACNA1H-2,3,9,735
batch1,hvc_run1,Astro-2,3,9,255
batch1,hvc_run1,GABA-1-1,3,9,306
batch1,hvc_run1,Glut-DACH2-2,3,9,479
batch1,hvc_run1,Glut-DACH2-HVCra,3,9,3017
batch1,hvc_run1,Glut-DACH2-HVCra-Pre,3,9,664
batch1,hvc_run1,Glut-DACH2-HVCx,3,9,341
batch1,hvc_run1,Glut-NB,3,9,434
batch1,hvc_run1,Glut-NSC,3,9,224
batch1,nc_run1,Astro-2,3,9,306
batch1,nc_run1,GABA-1-1,3,9,362
batch1,nc_run1,GABA-1-2,3,9,240
batch1,nc_run1,Glut-DACH2-1,3,9,1846
batch1,nc_run1,Glut-DACH2-2,3,9,465
batch1,nc_run1,Glut-DACH2-3,3,9,697
batch1,ra_run1,Astro-1,3,9,752
batch1,ra_run1,Glut-CACNA1H-RA,3,9,1196
batch1,ra_run1,Oligo-1,3,9,474
batch2,lman_run1,Astro-3,3,9,477
batch2,lman_run1,Glut-DACH2-LMANco,3,9,679
batch2,lman_run1,Glut-DACH2-LMANsh,3,9,1136
batch2,nr_run1,Glut-DACH2-5,3,9,953
batch2,nr_run1,Glut-DACH2-6,3,9,709
batch2,nr_run1,Glut-DACH2-7,3,9,804
