gene,n_combinations
DSCAM,5
PDE10A,5
ROBO2,5
ABCF1,4
ASTN2,4
CACNA2D3,4
FRMD8,4
KCNJ6,4
LSAMP,4
PFKFB3,4
PHACTR1,4
PLXNA4,4
PPP2R2C,4
RBFOX1,4
SH3PXD2A,4
AAK1,3
ABCC5,3
AGAP1,3
ARID5B,3
ATXN1,3
CD40LG,3
CDH9,3
CELF2,3
CHRM3,3
CNN3,3
CTNNA2,3
DLG2,3
DLGAP2,3
DMD,3
EPHA7,3
EPOR,3
GALNT9,3
GDPD5,3
GPC3,3
GPRIN2,3
GRID1,3
GUCY1A2,3
HOMER1,3
HSD3B7,3
HTR2C,3
ITPR3,3
KCNT1,3
KIRREL3,3
LOC110469974,3
LOC110470690,3
LOC110474692,3
LOC110475443,3
LOC110480357,3
LOC110482409,3
LOC116183448,3
LOC116183733,3
LOC116184235,3
LRRC8D,3
MARCHF1,3
MCF2L,3
NFIA,3
OPCML,3
PCDH15,3
PRICKLE1,3
PTPRN2,3
RARB,3
RASGEF1A,3
RNF150,3
SPRED2,3
STIM2,3
TAFA5,3
TMEFF2,3
TMEM62,3
TRIM71,3
TSPAN4,3
VWA3B,3
XKR6,3
ZEB2,3
ABHD12B,2
ABLIM1,2
ACSL1,2
ADAMTS19,2
ADAMTSL1,2
ADARB2,2
ADCY5,2
ADGRB3,2
AFF3,2
ALS2CL,2
ANGEL1,2
ANO3,2
ANOS1,2
APP,2
AR,2
ARHGAP24,2
ARID1B,2
ATP13A1,2
ATP7A,2
ATRNL1,2
B3GALT5,2
BCL2,2
BDNF,2
BMPER,2
BRINP1,2
BRSK2,2
BZW2,2
C12H3orf67,2
C4H4orf48,2
C8H1orf21,2
CA10,2
CACNA1C,2
CACNA1H,2
CACNB4,2
CALCR,2
CAVIN4,2
CC2D1A,2
CCDC15,2
CCDC39,2
CCND2,2
CCNE2,2
CD109,2
CDH7,2
CDK14,2
CENPU,2
CHST8,2
CHSY3,2
CLMN,2
CLVS1,2
CMSS1,2
CNTN5,2
CNTNAP2,2
CNTNAP5,2
COL19A1,2
COL23A1,2
COL6A3,2
CRB1,2
CRYL1,2
CSMD1,2
CTNND2,2
CTTNBP2,2
DCLK1,2
DNM2,2
DOCK11,2
DOCK3,2
DPP10,2
DPP6,2
DRD5,2
DSC1,2
DYRK4,2
EDIL3,2
EFNB1,2
EMCN,2
EPB41L3,2
EPB41L4B,2
EPHA6,2
EPM2A,2
EXOSC9,2
EYA2,2
FAIM,2
FAM117B,2
FAM189A1,2
FARP1,2
FBLN2,2
FBXO34,2
FGF14,2
FKBP7,2
FNDC3A,2
