first_type,n,PPP1R1B,PENK,PDYN,DRD1,DRD2,RGS9,SCN4B,FOXP1,FOXP2
Glut-GABA,15901,2.523821245648182,1.8736228353988353,0.12496751780416593,1.2037632854862133,2.103281047113555,1.5690714770636065,0.021032098721205247,0.4674025959927032,0.2171045224893126
GABA-LGE-2,15441,2.3099823140490785,0.9078771641343737,0.4158951006148471,1.4670926454212976,0.20466052327707132,1.7681745009535834,0.02108227476201081,0.42097078592380777,1.009048281910255
Glut-Im,13949,1.368876373144752,0.2543430504221383,0.03457812352797717,1.017908062948853,0.053137981135331254,0.3243627524102558,0.047524093982983795,0.18008154608443394,0.08923376644653506
Glut-DACH2-1,9723,1.1443129060603061,0.5188668781992957,0.010460556467320452,0.48484433363504287,0.028544609276748737,0.3396807416581047,0.033145977471348384,0.12680523388993445,0.032294464639528016
Glut-CACNA1H-4,2074,0.8804537040514309,0.08835685055418767,0.021049888071796526,0.5991551378018078,0.04251845208473449,0.5344759578965332,0.05700971082317107,0.06956632722473045,0.05576166041050428
Glut-DACH2-5,10579,0.7549846858964115,0.32238944116736035,0.007663923589646426,0.35514351191122345,0.010168616973827493,0.18942022937695738,0.010051319615417862,0.11624141141092852,0.03623956069535867
Oligo-2,1514,0.6719537909853875,0.42769781764907305,0.0506137862411262,0.36397602125295714,0.2370664462927571,0.3513624267771476,0.00701894905401447,0.1676117184097271,0.14560497944583867
Glut-DACH2-7,3784,0.648574489673962,0.12239639303653806,0.006584739842897987,0.3705837241443041,0.013485760490985797,0.17270391398141904,0.012961415530507382,0.22497727092986194,0.04026600620585354
Glut-DACH2-2,2672,0.6459715409993507,0.11163211239322637,0.016547661382360773,0.6559467547155408,0.01023083721589682,0.3447586419952836,0.018671341844492515,0.13375562854731746,0.03194590163370938
Glut-NSC,920,0.6222567219733396,0.4089612648842264,0.06650992211888651,0.4829432586869834,0.18093208275181671,0.5894455554945736,0.021036009399038647,0.13008690176552215,0.3404290609516092
GABA-Im,1052,0.5952900176716858,1.6344223852533206,0.08894501406524737,0.37438283847415216,0.35474232731011224,0.6959144390141493,0.03316782446270495,0.11442019117144184,0.7667126967228793
Glut-CACNA1H-2,5004,0.5375382391824295,0.07622797552719746,0.009544387472119819,0.25053893085920065,0.07848524048312723,0.28810343164742785,0.0553244214460563,0.06398624143343852,0.025395093097855048
Glut-DACH2-3,11405,0.5110343653986532,0.3421954370604257,0.012489967475702983,0.21411250189091022,0.02631356109088355,0.4090239379640489,0.024449247775142784,0.06686003372992147,0.031188834308415955
Astro-2,54829,0.45152946962767565,0.318023061573864,0.04084882701328193,0.2801223103390485,0.16736524538512607,0.3065880044839362,0.011039304377818462,0.0958436886352913,0.09324790294919004
Glut-DACH2-HVCra-Int,450,0.4366618860603547,0.13978639342766558,0.008572817397244482,0.5257555329687965,0.022530530416046222,0.3991242299045626,0.03151227809523577,0.2318248801562717,0.14077885483224245
GABA-LGE-1,17590,0.4161009355110382,0.18774529642257773,0.041362671237313894,0.4733079877296773,0.0641293651259316,0.36317661965894293,0.0187857673196918,0.21925128302247454,0.8224778382548863
OPC,12530,0.3981991597410576,0.35572172439661875,0.03704095630183816,0.25974597827171064,0.11214283039403394,0.5671437341095036,0.019716840253856276,0.1495778503310281,0.15985309596949687
Glut-SATB2-1,57784,0.3832248965479367,0.10054916169298758,0.008295585782899318,0.25755609383379435,0.07613837027900071,0.3144766371216385,0.03779633160827644,0.40049484955933656,0.1055723338761328
Endo,19560,0.3192325103463357,0.19775388979480868,0.02028800965556858,0.1764490997841868,0.09648889159878857,0.22803633820117217,0.0192991435280199,0.36243672975172964,0.1515088422995273
Micro,2808,0.31501569475469793,0.19958152290479836,0.012974215440221983,0.20910833208846658,0.055765024715429413,0.2560156208854825,0.01769331211701398,0.21222071249098307,0.06645915347986232
Glut-CACNA1H-3,1636,0.31196639796218917,0.05395096884183924,0.006433200208524029,0.1969562435563359,0.017532965409685467,0.19607255844677812,0.098155145624305,0.10523293009244662,0.03225396671297714
Glut-NB,6144,0.30406416967959377,0.23197526202039007,0.010609728553053097,0.5293517120504506,0.0920978801241493,0.6304569724400437,0.04836693855833752,0.1047422714794772,0.054339471892584826
Glut-DACH2-4,3178,0.29544110176119315,0.04756594278268602,0.010387731355029458,0.27677909054654354,0.031187482668534626,0.34851617525049805,0.04239401222193659,0.33512711330279843,0.033881954124286066
Glut-DACH2-LMANsh,12785,0.29320427083442485,0.0984087795181743,0.007386966853948077,0.1876034168659515,0.010887790887277303,0.14879177990401005,0.061750534711171444,0.17107191883111478,0.027201698322687394
Glut-DACH2-6,10774,0.2555359178397526,0.053120723785986104,0.011718883705410719,0.13316102637029453,0.05638626689588647,0.28634107961333444,0.018167230727824477,0.3198844230070432,0.03337137984748171
GABA-CGE-2,5402,0.24324875107311156,1.245521256622138,0.02961682973449442,0.151529171359907,0.09371375045174155,0.5293146668366489,0.043864218019381944,0.07718957602430854,0.13867577173642412
Glut-CACNA1H-1,727,0.23119674481219465,0.048071720463905704,0.005502255010683899,0.3968575396927442,0.016290055020945174,0.18268671260337405,0.22357902585317566,0.1433120690715162,0.058673231783289904
Glut-DACH2-8,10820,0.22077407326619816,0.06275817632978606,0.008392368399226956,0.2950777077972557,0.012278216086567826,0.12667254198905467,0.02154020773296078,0.08037324314038234,0.039243250338751715
GABA-MGE-LHX8,6346,0.1949452726891273,0.5885297903509629,0.03869462335938994,0.2543050681526639,0.11333273046285242,0.28044147205157444,0.05206837689723565,0.06068500157761879,0.09388054772603716
GABA-MGE-ST18,3402,0.19204620220726898,1.1272841814820198,0.022507287788073312,0.2559252141118468,0.06423415426049676,0.2689667730071597,0.04577476195070812,0.05516635689314944,0.07067840455202234
Oligo-3,1148,0.1887323293228044,0.18271069858984948,0.04512710947121802,0.12810942838846678,0.0447681800495367,0.29481975257324394,0.020941401292264565,0.08495474137738791,0.14408321141391145
GABA-CGE-1,2058,0.17865433114600476,3.9937818714664357,0.0186173959905736,0.3192367539852464,0.07118596295280642,0.6816574046851286,0.056101958216887016,0.0694432461957276,0.06249914929708167
Oligo-1,2173,0.17671661100243416,0.22030961337294783,0.02654499585493093,0.11507047635201618,0.09451583154336814,0.20748655822826792,0.060995796790222934,0.07534922048576767,0.11356761229043624
Astro-3,25551,0.1728215452937549,0.11166260425752669,0.011992745700905342,0.110991296148252,0.0317540539202676,0.15566269424911172,0.020364488927669264,0.08174957018593304,0.06292895473912391
GABA-MGE-LAMP5,5154,0.16456489984791176,0.17881469225503038,0.01674118336774966,0.15083927499514763,0.07469348853136705,0.1560312589014778,0.06891750285954441,0.05280142294718095,0.05748237111612118
GABA-MGE-PVALB-1,3801,0.14505354944250237,0.07957476308265522,0.010902905050411178,0.12768363862576074,0.02547072853268683,0.15890044520036703,0.017007758729774992,0.05292286611838111,0.10898225683039535
GABA-MGE-SST-2,2587,0.1431051153047265,0.09824795430701722,0.014718868893394908,0.15493604402390906,0.19145904680246853,0.2600849134309234,0.04993123951267114,0.06054481360898714,0.1474347938513736
GABA-MGE-SST-1,2092,0.11364572693739335,0.152497308847625,0.016962819589914455,0.1062287509897365,0.14687168894353675,0.5616330014898082,0.05947089100015162,0.046922780005771936,0.04107995217120569
Epen,1192,0.11283268891425302,0.0561010850379933,0.014460978127947161,0.09016555992563959,0.014522722770290491,0.18652507354398054,0.014181085053080102,0.0829337615472636,0.1924588768815836
Glut-DACH2-HVCra,791,0.09669319430812318,0.2374407259767029,0.012013833316103388,0.3619614815176371,0.01177611088897319,0.20753377607084517,0.161336089280331,0.266472010502007,0.03383915738687272
Astro-1,3382,0.08876554245791517,0.20516254073274467,0.015208616016387571,0.20611239534850728,0.07457840187567905,0.34326308856910315,0.11276680314776033,0.12693163660275406,0.26675229967089775
GABA-MGE-PVALB-2,6101,0.0833983732508409,0.07710155823290016,0.013535660755392278,0.09167182613579554,0.1037022161373295,0.1666172011403967,0.03801317187194759,0.0512840795465355,0.04547134427635841
GABA-MGE-SST-3,3971,0.08060572297266005,0.07348168885417074,0.012017880354959341,0.07210825749442296,0.20629881948502338,0.22527869510348403,0.10407420290540388,0.04470158760590782,0.04908888725988971
Glut-DACH2-HVCx,1470,0.0783066041416939,0.02769426165103898,0.014290518383708645,0.24932650485295846,0.03307053220618356,0.19623518580632476,0.09251516960517464,0.5509411647066669,0.04235288690307974
