cluster,cluster_type,snrna_spec,xenium_delta,xenium_obs,xenium_null
Glut-DACH2-HVCra,Glut,1.791759469228055,0.509412835517386,0.9031718576644779,0.39375902214709185
Glut-DACH2-HVCx,Glut,1.76570948600417,0.2696951974381185,0.659495729674389,0.3898005322362705
Glut-DACH2-1,Glut,0.8544916022902209,0.3030560646946354,0.6922509438566545,0.38919487916201906
Glut-DACH2-2,Glut,0.9642263861649585,0.2983905959725579,0.6895364243211446,0.3911458283485867
Glut-DACH2-3,Glut,1.6024599269754882,0.262063267740738,0.6503892470004571,0.3883259792597191
Glut-DACH2-4,Glut,1.1307782836423075,0.1540671699084838,0.5417985015380679,0.38773133162958406
Glut-DACH2-LMANsh,Glut,1.6746632535608514,0.19597307009667272,0.5865610029586417,0.39058793286196897
Glut-DACH2-LMANco,Glut,1.7554122389585798,0.39797124489625835,0.7869759109965717,0.3890046661003134
Glut-DACH2-5,Glut,1.1062808463205647,0.14189255858060476,0.5308721400740991,0.3889795814934943
Glut-DACH2-6,Glut,1.2208504873679271,0.2372042474777517,0.626777608147132,0.3895733606693803
Glut-DACH2-7,Glut,1.5577133440345639,0.1589094139328301,0.5479960092415511,0.38908659530872103
Glut-DACH2-8,Glut,1.0925935012475154,0.1292717311785032,0.5178710619277719,0.38859933074926867
Glut-SATB2-1,Glut,1.626188231638509,0.20215363651812168,0.590050826795123,0.3878971902770013
Glut-CACNA1H-RA,Glut,1.791759469228055,0.5113217309126548,0.9101466572988296,0.3988249263861748
Glut-CACNA1H-1,Glut,1.791759469228055,0.4685446503838689,0.8606670775900793,0.39212242720621043
Glut-CACNA1H-2,Glut,1.791759469228055,0.4144765447617002,0.8034909701322323,0.38901442537053205
Glut-CACNA1H-3,Glut,1.791759469228055,0.45183041943855007,0.8466983649523907,0.3948679455138407
Glut-CACNA1H-4,Glut,1.791759469228055,0.42305668704894056,0.8123051284035924,0.3892484413546518
Glut-GABA,Glut,0.3057599014506641,0.3086559341867192,0.6983030626282398,0.38964712844152066
Glut-Im,Glut-Pre,0.4829665970787991,0.07964286743216488,0.46869405045246415,0.3890511830202993
Glut-NB,Glut-Pre,0.7331694753051143,0.08834386789960283,0.4749741976879465,0.3866303297883437
Glut-NSC,Glut-Pre,1.791759469228055,0.25737363236631844,0.6446601687587837,0.38728653639246535
GABA-LGE-1,GABA,0.08466634214720817,0.04096654577835253,0.43041390416083686,0.38944735838248434
GABA-LGE-2,GABA,0.14676614331459167,0.22577786956365337,0.6148225651647298,0.38904469560107646
GABA-MGE-SST-1,GABA,0.49023432860424504,0.13378614414468015,0.5235939650748522,0.3898078209301721
GABA-MGE-SST-2,GABA,0.24201923677502515,0.02902030641711814,0.4169258507785307,0.3879055443614126
GABA-MGE-SST-3,GABA,0.34935593030495043,0.05794394149307463,0.4479558569930438,0.3900119154999692
GABA-MGE-PVALB-1,GABA,0.07926680676862513,0.03110296780791672,0.42143287514782796,0.39032990733991124
GABA-MGE-PVALB-2,GABA,0.6012357429396797,0.04999715817495511,0.4404894547086891,0.390492296533734
GABA-MGE-PVALB-3,GABA,0.9270426929220807,0.11338465961420165,0.5044963925851105,0.39111173297090884
GABA-MGE-LAMP5,GABA,0.254215554437326,0.00966926122070007,0.3985577557110485,0.3888884944903484
GABA-MGE-ST18,GABA,0.17813114012634151,0.02855016908129345,0.41738600965681744,0.388835840575524
GABA-MGE-LHX8,GABA,0.026629727500265907,0.11264737323206576,0.5005604526497068,0.3879130794176411
GABA-CGE-1,GABA,0.22401198061375674,0.02710194560439285,0.4156344212246346,0.3885324756202418
GABA-CGE-2,GABA,0.11339208363169834,0.03380296160475547,0.42336422835605936,0.3895612667513039
GABA-Im,GABA-Pre,0.1045982715213342,0.20995158267402003,0.6072664425371743,0.39731485986315423
Astro-1,Non-neuron,1.120726874777519,0.38472933238707024,0.7743350716866291,0.3896057392995588
Astro-2,Non-neuron,0.34916221517325385,0.03708568068196359,0.42528335416160207,0.38819767347963846
Astro-3,Non-neuron,1.0788340209404503,0.07386198742866669,0.46591412141254607,0.3920521339838794
Epen,Non-neuron,1.7301098517272042,0.3737038841010787,0.764706494130867,0.39100261002978837
Oligo-1,Non-neuron,1.0898563668892882,0.1938433650484196,0.5833276578318303,0.38948429278341057
Oligo-2,Non-neuron,0.28674790068074163,0.05794086827947004,0.4460376104655521,0.3880967421860821
Oligo-3,Non-neuron,0.7053886411797398,0.13549507424644827,0.5362535284568548,0.4007584542104065
OPC,Non-neuron,0.21924255854638308,0.01709874884770224,0.40491429132862583,0.3878155424809236
Micro,Non-neuron,0.24080622424558434,0.02025597741443091,0.40645057110530525,0.3861945936908743
Endo,Non-neuron,0.1939705658869869,0.07490326088494337,0.46338141584183395,0.38847815495689064
