first_type,class,n_sections,delta_sd,delta,median_n
Glut-CACNA1H-RA,Glut,3,0.010121039836747378,0.5113217309126548,173
Glut-DACH2-HVCra,Glut,3,0.00652614405620954,0.509412835517386,159
Glut-CACNA1H-1,Glut,3,0.01657189251562361,0.4685446503838689,136
Glut-CACNA1H-3,Glut,5,0.015176532443943354,0.45183041943855007,337
Glut-CACNA1H-4,Glut,9,0.029184783533049298,0.42305668704894056,226
Glut-CACNA1H-2,Glut,10,0.028463733825688536,0.4144765447617002,520.5
Glut-DACH2-LMANco,Glut,10,0.02399228814646788,0.39797124489625835,315.5
Astro-1,Astro,9,0.03785352628785128,0.38472933238707024,344
Epen,Other,6,0.030644549009163274,0.3737038841010787,155
Glut-GABA,Other,10,0.03620893905812158,0.3086559341867192,1523.5
Glut-DACH2-1,Glut,10,0.03204447054262855,0.3030560646946354,971
Glut-DACH2-2,Glut,9,0.04015151048799206,0.2983905959725579,319
Glut-DACH2-HVCx,Glut,9,0.036475826666460896,0.2696951974381185,144
Glut-DACH2-3,Glut,10,0.016344797383061778,0.262063267740738,1193.5
Glut-NSC,Developmental,4,0.020023433989363175,0.25737363236631844,117
Glut-DACH2-6,Glut,10,0.013522457073742944,0.2372042474777517,1174.5
GABA-LGE-2,GABA,10,0.022317818534322856,0.22577786956365334,1473.5
GABA-Im,Developmental,5,0.02003092253048834,0.20995158267402003,121
Glut-SATB2-1,Glut,10,0.02858994233028042,0.20215363651812168,5659
Glut-DACH2-LMANsh,Glut,10,0.018074855130644354,0.19597307009667272,1378
Oligo-1,Oligo/OPC,10,0.03752712184740082,0.19384336504841962,208.5
Glut-DACH2-7,Glut,10,0.01179816759209027,0.1589094139328301,376.5
Glut-DACH2-4,Glut,10,0.018393493610805913,0.1540671699084838,303.5
Glut-DACH2-5,Glut,10,0.008318674535127189,0.14189255858060476,1105.5
Oligo-3,Oligo/OPC,5,0.04371247901480071,0.13549507424644827,138
GABA-MGE-SST-1,GABA,10,0.013102993990003189,0.13378614414468015,189.5
Glut-DACH2-8,Glut,10,0.02167906326207636,0.12927173117850319,1068
GABA-MGE-PVALB-3,GABA,10,0.012251314277895789,0.11338465961420163,647.5
GABA-MGE-LHX8,GABA,10,0.02121259413935239,0.11264737323206576,603
Glut-NB,Developmental,10,0.01836015372569176,0.08834386789960283,590.5
Glut-Im,Developmental,10,0.009005161156580371,0.07964286743216488,1362
Endo,Other,10,0.025093882012162286,0.07490326088494337,1910.5
Astro-3,Astro,10,0.017343430247313496,0.07386198742866669,2496.5
GABA-MGE-SST-3,GABA,10,0.013486913705126028,0.057943941493074635,393
Oligo-2,Oligo/OPC,10,0.018414732033871794,0.057940868279470044,151.5
GABA-MGE-PVALB-2,GABA,10,0.012056036729083149,0.04999715817495511,598.5
GABA-LGE-1,GABA,10,0.009097855843439305,0.04096654577835253,1723
Astro-2,Astro,10,0.008192329593656027,0.03708568068196359,5541
GABA-CGE-2,GABA,10,0.011730326771215379,0.033802961604755474,517
GABA-MGE-PVALB-1,GABA,10,0.00812613431746652,0.031102967807916722,363.5
GABA-MGE-SST-2,GABA,10,0.009609394924511917,0.02902030641711814,261.5
GABA-MGE-ST18,GABA,10,0.008665273761580243,0.02855016908129345,333
GABA-CGE-1,GABA,10,0.01761779153560414,0.02710194560439285,203
Micro,Other,10,0.008371847037161734,0.020255977414430915,297.5
OPC,Oligo/OPC,10,0.007659927485654178,0.017098748847702246,1223
GABA-MGE-LAMP5,GABA,10,0.006947977834497314,0.009669261220700076,520
