section_id,first_type,class,n_cells,obs,null,delta
OR52YW26_1_4,Astro-2,Astro,5969,0.42522259597964995,0.38213245895767267,0.04309013702197728
OR52YW26_1_4,Astro-3,Astro,2554,0.45542700639210887,0.39559364376589545,0.059833362626213416
OR52YW26_1_4,Endo,Other,1736,0.4437629673795433,0.39030635388974133,0.05345661348980196
OR52YW26_1_4,Epen,Other,118,0.7816089910676712,0.3870878972761938,0.39452109379147743
OR52YW26_1_4,GABA-CGE-1,GABA,193,0.4017786031998786,0.38872349104681025,0.013055112153068371
OR52YW26_1_4,GABA-CGE-2,GABA,567,0.4243036859060831,0.38952977628350327,0.03477390962257981
OR52YW26_1_4,GABA-Im,Developmental,121,0.58512359755185706,0.38723570607715463,0.19788789147470243
OR52YW26_1_4,GABA-LGE-1,GABA,1710,0.45017302014214056,0.39231511096686716,0.05785790917527339
OR52YW26_1_4,GABA-LGE-2,GABA,1924,0.5979762304685373,0.3897702152554588,0.20820601521307852
OR52YW26_1_4,GABA-MGE-LAMP5,GABA,578,0.39763730311482365,0.3872943732946544,0.010342929820169267
OR52YW26_1_4,GABA-MGE-LHX8,GABA,734,0.4972344099333363,0.3868208329199283,0.11041357701340798
OR52YW26_1_4,GABA-MGE-PVALB-1,GABA,309,0.4172089323807085,0.3880939062407414,0.029115026139967082
OR52YW26_1_4,GABA-MGE-PVALB-2,GABA,569,0.4439884520420221,0.39393758316084854,0.05005086888117355
OR52YW26_1_4,GABA-MGE-PVALB-3,GABA,628,0.4970450069967458,0.3972268504056883,0.09981815659105753
OR52YW26_1_4,GABA-MGE-SST-1,GABA,160,0.5155670355483251,0.3859272139941497,0.12963982155417536
OR52YW26_1_4,GABA-MGE-SST-2,GABA,207,0.4089042743854833,0.38710442219184094,0.02179985219364239
OR52YW26_1_4,GABA-MGE-SST-3,GABA,369,0.44810157866706435,0.3919439412191851,0.05615763744787927
OR52YW26_1_4,GABA-MGE-ST18,GABA,330,0.4095265954991501,0.3852765014473038,0.024250094051846305
OR52YW26_1_4,Glut-CACNA1H-2,Glut,381,0.792890396745345,0.38842297427322264,0.40446742247212236
OR52YW26_1_4,Glut-CACNA1H-4,Glut,100,0.8151937555711837,0.3899323954420537,0.42526136012912996
OR52YW26_1_4,Glut-DACH2-1,Glut,898,0.742955440695122,0.38493804648439184,0.35801739421073014
