filter_set,section_id,class,n_subtypes_avail,draws_usable,obs,null,delta
confident_gte400,OR52YW26_1_4,Glut,14,48,0.20199598723358284,0.02781501322450825,0.1741809740090746
confident_gte400,OR52YW26_1_4,GABA,13,32,0.09272708618362484,0.01669231173289925,0.07570185043441494
confident_gte400,OR52YW26_1_4,Oligo/OPC,3,0,NA,NA,NA
confident_gte400,OR52YW26_1_7,Glut,17,48,0.23162491409056785,0.015867917997934498,0.21556483114178068
confident_gte400,OR52YW26_1_7,GABA,13,28,0.06673323955503829,0.013849560674769645,0.05288367888026864
confident_gte400,OR52YW26_1_7,Astro,3,50,0.1572013595050185,0.02942448145160205,0.12777687805341648
confident_gte400,OR52YW26_1_7,Oligo/OPC,3,0,NA,NA,NA
confident_gte400,OR52YW26_2_2,Glut,15,49,0.21705789274849488,0.02402346217884117,0.1930344305696537
confident_gte400,OR52YW26_2_2,GABA,13,38,0.10024508084262893,0.014483041987856703,0.08576203885477222
confident_gte400,OR52YW26_2_2,Astro,3,50,0.1455142122509226,0.07890503493501777,0.06660917731590482
confident_gte400,OR52YW26_2_2,Oligo/OPC,4,0,NA,NA,NA
confident_gte400,OR52YW26_2_4,Glut,16,42,0.21721425513758544,0.011926150357010844,0.20525476499576042
confident_gte400,OR52YW26_2_4,GABA,13,37,0.09774044095622071,0.011569318908964473,0.08617112204725624
confident_gte400,OR52YW26_2_4,Astro,3,50,0.1575045744594385,0.060594325961426554,0.09691024849801194
confident_gte400,OR52YW26_2_4,Oligo/OPC,4,22,0.06343882774653914,0.03324374119988631,0.03019508654665283
confident_gte400,OR52YW26_2_7,Glut,15,46,0.2124161742829726,0.012781070509571855,0.19886313776216233
confident_gte400,OR52YW26_2_7,GABA,13,31,0.09146360882353882,0.015395814788792242,0.07595471259585958
confident_gte400,OR52YW26_2_7,Astro,3,50,0.1518865315111701,0.05295130463568852,0.09893522687548158
confident_gte400,OR52YW26_2_7,Oligo/OPC,3,50,0.0627441567566974,0.021885509453832455,0.04085864730286494
confident_gte400,OR69PU4_1_4,Glut,12,50,0.18417927530209058,0.01089804911170093,0.17328122619038966
confident_gte400,OR69PU4_1_4,GABA,13,30,0.0927957580871076,0.012782474222566568,0.0797479232499177
confident_gte400,OR69PU4_1_4,Astro,3,50,0.14819658982411288,0.02512842424050643,0.12306816558360645
confident_gte400,OR69PU4_1_4,Oligo/OPC,3,0,NA,NA,NA
confident_gte400,OR69PU4_1_7,Glut,15,48,0.20332257285277996,0.016017842966271643,0.1869059446287933
confident_gte400,OR69PU4_1_7,GABA,13,34,0.10495980029059086,0.014930343027925327,0.09080739499087878
confident_gte400,OR69PU4_1_7,Astro,3,50,0.1479163945836085,0.03245388756790457,0.11546250701570393
confident_gte400,OR69PU4_1_7,Oligo/OPC,4,33,0.051955576291870476,0.03842111320216764,0.013534463089702835
confident_gte400,OR69PU4_2_2,Glut,14,47,0.18861723203527886,0.017156963235637653,0.17107863194426398
confident_gte400,OR69PU4_2_2,GABA,13,31,0.08950929672409658,0.016075627027274816,0.07343366969682176
confident_gte400,OR69PU4_2_2,Astro,3,50,0.1505270545334383,0.015521777766299339,0.13500527676713894
confident_gte400,OR69PU4_2_2,Oligo/OPC,3,0,NA,0.02407211502536665,NA
confident_gte400,OR69PU4_2_4,Glut,17,47,0.23927190917389302,0.016588445077026778,0.22223124445401735
confident_gte400,OR69PU4_2_4,GABA,13,28,0.08406612644730078,0.013355263456960621,0.0705850996685844
confident_gte400,OR69PU4_2_4,Astro,3,50,0.15884778857708787,0.0237818534729102,0.13506593510417766
confident_gte400,OR69PU4_2_4,Oligo/OPC,4,12,0.03766494438688389,0.044310161989548215,-0.0066452176026643205
confident_gte400,OR69PU4_2_7,Glut,16,50,0.2041031698806079,0.012311272615093977,0.1917918972655139
confident_gte400,OR69PU4_2_7,GABA,13,41,0.06920719737122963,0.013298142389644137,0.05590905498158549
confident_gte400,OR69PU4_2_7,Astro,3,50,0.15657825727910069,0.012247300988303704,0.14433095629079698
confident_gte400,OR69PU4_2_7,Oligo/OPC,4,39,0.06209671236888885,0.030154160430302532,0.03194255193858632
singlet_only_gte400,OR52YW26_1_4,Glut,12,49,0.1904256255272688,0.015360929821132283,0.17493625702906446
singlet_only_gte400,OR52YW26_1_4,GABA,13,25,0.09863741013423838,0.015974722282134052,0.08249385404713834
singlet_only_gte400,OR52YW26_1_4,Oligo/OPC,3,0,NA,NA,NA
singlet_only_gte400,OR52YW26_1_7,Glut,17,49,0.219364573483108,0.017958767252313386,0.20110480958769497
