new_type,n,frac
Glut-Arco-3,2587,0.3085
Glut-Arco-2,2453,0.2925
Glut-Arco-1,847,0.101
Glut-Arco-5,375,0.0447
Astro-2,241,0.0287
Astro-3,236,0.0281
Astro-1,227,0.0271
Glut-NC-4,203,0.0242
Glut-NR-5,126,0.015
Endo,115,0.0137
Epen,104,0.0124
Glut-NC-3,102,0.0122
GABA-5-2,75,0.0089
Glut-HVC-2,73,0.0087
GABA-8,69,0.0082
GABA-1-1,57,0.0068
Glut-NR-2,56,0.0067
OPC,42,0.005
GABA-1-2,38,0.0045
GABA-7,31,0.0037
GABA-2-3,29,0.0035
Glut-LMAN-1,27,0.0032
GABA-4-1,24,0.0029
Glut-NR-1,23,0.0027
GABA-2-1,19,0.0023
GABA-6,19,0.0023
Glut-NR-4,18,0.0021
GABA-4-2,17,0.002
GABA-Pre,16,0.0019
Micro,16,0.0019
GABA-3,13,0.0016
Glut-HVC-1a,13,0.0016
Glut-HVC-1,11,0.0013
Glut-LMAN-2,11,0.0013
Oligo-1,11,0.0013
GABA-5-1,10,0.0012
GABA-2-2,8,0.001
Glut-Pre-1,8,0.001
Glut-Pre-2,8,0.001
Glut-RA,8,0.001
Oligo-2,7,8e-4
Glut-NC-1,5,6e-4
Glut-NC/Glut-Nido,5,6e-4
Glut-NR-3,2,2e-4
Glut-Pre-3,2,2e-4
