nb_label,n
GABA-Pre,631580
Oligo-3,197574
Glut-Nido-2,181406
GABA-5-2,85761
Glut-Arco-2,70203
Endo,54885
Glut-Arco-5,54332
Glut-NC/Glut-Nido,51680
Glut-Pre-2,36964
GABA-1-1,33893
OPC,32912
Glut-Arco-3,25760
Glut-Pre-1,21846
Glut-NR-5,15057
GABA-6,13794
Oligo-1,12787
GABA-4-1,12117
Micro,10088
GABA-2-1,8542
GABA-8,8423
Epen,5500
Glut-Arco-4,5185
GABA-1-2,5001
GABA-5-1,3150
GABA-7,2901
Oligo-2,1430
GABA-2-2,934
GABA-3,728
Glut-RA,678
Astro-1,628
Astro-2,132
Glut-HVC-2,89
Glut-HVC-1a,51
Glut-Arco-1,32
Glut-NC-4,32
GABA-2-3,30
Glut-Pre-3,28
Glut-HVC-1,24
Glut-NR-1,22
Glut-NR-4,17
Astro-3,14
Glut-Nido-3,13
Glut-NR-2,12
Glut-LMAN-2,7
Glut-NC-1,3
Glut-NR-3,2
GABA-4-2,1
Glut-NC-3,1
