first_type,HVC,surround,log2_enrich
Glut-HVC-1,0.20017714791851196,9.026900162484203e-4,7.641978342868451
Glut-HVC-2,0.07646885149099499,0.003069146055244629,4.594591562184213
Astro-1,0.01446708001180986,6.318830113738942e-4,4.314954848452882
GABA-4-2,0.008857395925597875,0.0012637660227477884,2.7154832293891498
Astro-3,0.030705639208739297,0.013901426250225673,1.1376206772329938
Glut-HVC-1a,0.02716268083850015,0.012998736233977253,1.0574998073011317
Oligo-1,0.011219368172423975,0.005596678100740206,0.9906006396747885
GABA-2-3,0.0097431355181576609,0.007763134139736415,0.3240134914305204
Endo,0.23117803365810452,0.18523199133417584,0.31951631245517276
Oligo-3,0.00354295837023915,0.002978877053619787,0.2427062503105906
Micro,0.027753173900206672,0.0294276945296985,-0.08422698414495035
GABA-5-1,0.002952465308532625,0.003430222061743997,-0.20978403729023537
Oligo-2,0.005019191024505462,0.005957754107239574,-0.24286717626818255
Glut-Pre-2,0.0637732506643047,0.07916591442498647,-0.3114887433686119
GABA-4-1,0.008266902863891349,0.010290666185231992,-0.31252256265357214
Glut-NR-2,0.00088573959255978745,0.0011734970211229464,-0.3695171064130122
GABA-6,0.005609684086211987,0.007492327134861888,-0.41113123166352866
Glut-LMAN-1,0.00118098612341305,0.0016248420292471566,-0.429209390372414
OPC,0.029524653085326247,0.042606968766925435,-0.5276732430891151
Astro-2,0.1668142899320933,0.24932298248781368,-0.5794869324320925
GABA-2-2,0.006200177147918512,0.009839321177107781,-0.6577549290575055
Glut-Pre-1,0.0044286979627989375,0.008756093157609677,-0.9675740745443607
GABA-3,0.005019191024505462,0.010110128181982307,-0.9960132313476808
GABA-5-2,0.0044286979627989375,0.009117169164109045,-1.0252274055396071
GABA-8,0.00354295837023915,0.007853403141361256,-1.126461791137134
GABA-1-1,0.02893416002361972,0.06652825419750857,-1.1983827958355884
GABA-7,0.0023619722468261,0.006409099115363784,-1.4026433838147245
Glut-LMAN-2,0,1.8053800324968405e-4,-1.4881962196258545
GABA-2-1,0.00118098612341305,0.004603719082866943,-1.8765470541893932
GABA-Pre,0,2.708070048745261e-4,-1.8906684980149149
Glut-Arco-4,0.001771479185119575,0.006860444123487994,-1.8950003602778418
Glut-Arco-2,0,3.610760064993681e-4,-2.205004592652863
Glut-Arco-5,0,3.610760064993681e-4,-2.205004592652863
Glut-NR-4,2.952465308532625e-4,0.0018956490341216826,-2.3360333176830474
Glut-NC/Glut-Nido,0.0014762326542663124,0.00839501715111031,-2.4301363657290675
Glut-Pre-3,0.00590493061706525,0.03782271168080881,-2.6588426467231314
Glut-NC-4,0.001771479185119575,0.013179274237226936,-2.826925392513199
GABA-1-2,0.002066725715972837,0.017151110308719984,-2.993100778488161
Epen,0.0023619722468261,0.022476981404585664,-3.196966203390975
Glut-NR-1,0.002657218777679362,0.03312872359631702,-3.591145225477891
Glut-NR-3,2.952465308532625e-4,0.013089005235602094,-5.06043914512261
Glut-NC-3,0,0.02229644340133598,-7.8071258374751595
Glut-NC-1,0,0.034482758620689655,-8.433909145210988
