section_id,cluster_qc,n,frac
OR52YW26_1_4,0,1376,0.1376
OR52YW26_1_4,1,1253,0.1253
OR52YW26_1_4,2,886,0.0886
OR52YW26_1_4,3,1224,0.1224
OR52YW26_1_4,4,845,0.0845
OR52YW26_1_4,5,795,0.0795
OR52YW26_1_4,6,573,0.0573
OR52YW26_1_4,7,481,0.0481
OR52YW26_1_4,8,303,0.0303
OR52YW26_1_4,9,179,0.0179
OR52YW26_1_4,10,186,0.0186
OR52YW26_1_4,11,254,0.0254
OR52YW26_1_4,12,233,0.0233
OR52YW26_1_4,13,203,0.0203
OR52YW26_1_4,14,164,0.0164
OR52YW26_1_4,15,120,0.012
OR52YW26_1_4,16,134,0.0134
OR52YW26_1_4,17,142,0.0142
OR52YW26_1_4,18,148,0.0148
OR52YW26_1_4,19,164,0.0164
OR52YW26_1_4,20,122,0.0122
OR52YW26_1_4,21,108,0.0108
OR52YW26_1_4,22,64,0.0064
OR52YW26_1_4,23,43,0.0043
OR52YW26_1_7,0,1466,0.1466
OR52YW26_1_7,1,1310,0.131
OR52YW26_1_7,2,1453,0.1453
OR52YW26_1_7,3,660,0.066
OR52YW26_1_7,4,861,0.0861
OR52YW26_1_7,5,789,0.0789
OR52YW26_1_7,6,486,0.0486
OR52YW26_1_7,7,569,0.0569
OR52YW26_1_7,8,338,0.0338
OR52YW26_1_7,9,147,0.0147
OR52YW26_1_7,10,307,0.0307
OR52YW26_1_7,11,270,0.027
OR52YW26_1_7,12,205,0.0205
OR52YW26_1_7,13,116,0.0116
OR52YW26_1_7,14,120,0.012
OR52YW26_1_7,15,133,0.0133
OR52YW26_1_7,16,159,0.0159
OR52YW26_1_7,17,185,0.0185
OR52YW26_1_7,18,106,0.0106
OR52YW26_1_7,19,115,0.0115
OR52YW26_1_7,20,57,0.0057
OR52YW26_1_7,21,39,0.0039
OR52YW26_1_7,22,83,0.0083
OR52YW26_1_7,23,26,0.0026
OR52YW26_2_2,0,1412,0.1412
OR52YW26_2_2,1,1331,0.1331
OR52YW26_2_2,2,963,0.0963
OR52YW26_2_2,3,1047,0.1047
OR52YW26_2_2,4,914,0.0914
OR52YW26_2_2,5,785,0.0785
OR52YW26_2_2,6,525,0.0525
OR52YW26_2_2,7,484,0.0484
OR52YW26_2_2,8,339,0.0339
OR52YW26_2_2,9,189,0.0189
OR52YW26_2_2,10,191,0.0191
OR52YW26_2_2,11,245,0.0245
OR52YW26_2_2,12,263,0.0263
OR52YW26_2_2,13,173,0.0173
OR52YW26_2_2,14,156,0.0156
OR52YW26_2_2,15,133,0.0133
OR52YW26_2_2,16,129,0.0129
OR52YW26_2_2,17,133,0.0133
OR52YW26_2_2,18,145,0.0145
OR52YW26_2_2,19,148,0.0148
OR52YW26_2_2,20,116,0.0116
OR52YW26_2_2,21,92,0.0092
OR52YW26_2_2,22,56,0.0056
OR52YW26_2_2,23,31,0.0031
OR52YW26_2_4,0,1393,0.1393
OR52YW26_2_4,1,1575,0.1575
OR52YW26_2_4,2,989,0.0989
OR52YW26_2_4,3,669,0.0669
OR52YW26_2_4,4,952,0.0952
OR52YW26_2_4,5,786,0.0786
OR52YW26_2_4,6,509,0.0509
OR52YW26_2_4,7,527,0.0527
OR52YW26_2_4,8,430,0.043
OR52YW26_2_4,9,199,0.0199
OR52YW26_2_4,10,273,0.0273
OR52YW26_2_4,11,313,0.0313
OR52YW26_2_4,12,255,0.0255
OR52YW26_2_4,13,110,0.011
OR52YW26_2_4,14,125,0.0125
OR52YW26_2_4,15,159,0.0159
OR52YW26_2_4,16,150,0.015
OR52YW26_2_4,17,161,0.0161
OR52YW26_2_4,18,93,0.0093
OR52YW26_2_4,19,87,0.0087
OR52YW26_2_4,20,103,0.0103
OR52YW26_2_4,21,52,0.0052
OR52YW26_2_4,22,64,0.0064
OR52YW26_2_4,23,26,0.0026
OR52YW26_2_7,0,1454,0.1454
OR52YW26_2_7,1,1465,0.1465
OR52YW26_2_7,2,1190,0.119
OR52YW26_2_7,3,643,0.0643
OR52YW26_2_7,4,947,0.0947
OR52YW26_2_7,5,759,0.0759
OR52YW26_2_7,6,516,0.0516
OR52YW26_2_7,7,527,0.0527
OR52YW26_2_7,8,363,0.0363
OR52YW26_2_7,9,170,0.017
OR52YW26_2_7,10,232,0.0232
OR52YW26_2_7,11,272,0.0272
OR52YW26_2_7,12,253,0.0253
OR52YW26_2_7,13,124,0.0124
OR52YW26_2_7,14,124,0.0124
OR52YW26_2_7,15,175,0.0175
OR52YW26_2_7,16,170,0.017
OR52YW26_2_7,17,165,0.0165
OR52YW26_2_7,18,97,0.0097
OR52YW26_2_7,19,105,0.0105
OR52YW26_2_7,20,91,0.0091
OR52YW26_2_7,21,60,0.006
OR52YW26_2_7,22,82,0.0082
OR52YW26_2_7,23,16,0.0016
OR69PU4_1_4,0,1354,0.1354
OR69PU4_1_4,1,1247,0.1247
OR69PU4_1_4,2,732,0.0732
OR69PU4_1_4,3,1152,0.1152
OR69PU4_1_4,4,756,0.0756
OR69PU4_1_4,5,751,0.0751
OR69PU4_1_4,6,547,0.0547
OR69PU4_1_4,7,475,0.0475
OR69PU4_1_4,8,327,0.0327
OR69PU4_1_4,9,543,0.0543
OR69PU4_1_4,10,234,0.0234
OR69PU4_1_4,11,258,0.0258
OR69PU4_1_4,12,244,0.0244
OR69PU4_1_4,13,188,0.0188
OR69PU4_1_4,14,171,0.0171
OR69PU4_1_4,15,145,0.0145
OR69PU4_1_4,16,121,0.0121
OR69PU4_1_4,17,129,0.0129
OR69PU4_1_4,18,156,0.0156
OR69PU4_1_4,19,157,0.0157
OR69PU4_1_4,20,94,0.0094
OR69PU4_1_4,21,95,0.0095
OR69PU4_1_4,22,73,0.0073
OR69PU4_1_4,23,51,0.0051
OR69PU4_1_7,0,1379,0.1379
OR69PU4_1_7,1,1255,0.1255
OR69PU4_1_7,2,846,0.0846
OR69PU4_1_7,3,1004,0.1004
OR69PU4_1_7,4,824,0.0824
OR69PU4_1_7,5,779,0.0779
OR69PU4_1_7,6,610,0.061
OR69PU4_1_7,7,515,0.0515
OR69PU4_1_7,8,320,0.032
OR69PU4_1_7,9,337,0.0337
OR69PU4_1_7,10,315,0.0315
OR69PU4_1_7,11,241,0.0241
OR69PU4_1_7,12,263,0.0263
OR69PU4_1_7,13,150,0.015
OR69PU4_1_7,14,169,0.0169
OR69PU4_1_7,15,123,0.0123
OR69PU4_1_7,16,142,0.0142
OR69PU4_1_7,17,123,0.0123
OR69PU4_1_7,18,155,0.0155
OR69PU4_1_7,19,120,0.012
OR69PU4_1_7,20,107,0.0107
OR69PU4_1_7,21,104,0.0104
OR69PU4_1_7,22,76,0.0076
OR69PU4_1_7,23,43,0.0043
OR69PU4_2_2,0,1425,0.1425
OR69PU4_2_2,1,1314,0.1314
OR69PU4_2_2,2,898,0.0898
OR69PU4_2_2,3,839,0.0839
OR69PU4_2_2,4,838,0.0838
OR69PU4_2_2,5,734,0.0734
OR69PU4_2_2,6,570,0.057
OR69PU4_2_2,7,513,0.0513
OR69PU4_2_2,8,373,0.0373
OR69PU4_2_2,9,381,0.0381
OR69PU4_2_2,10,342,0.0342
OR69PU4_2_2,11,283,0.0283
OR69PU4_2_2,12,266,0.0266
OR69PU4_2_2,13,157,0.0157
OR69PU4_2_2,14,154,0.0154
OR69PU4_2_2,15,139,0.0139
OR69PU4_2_2,16,145,0.0145
OR69PU4_2_2,17,112,0.0112
OR69PU4_2_2,18,129,0.0129
OR69PU4_2_2,19,126,0.0126
OR69PU4_2_2,20,76,0.0076
OR69PU4_2_2,21,72,0.0072
OR69PU4_2_2,22,82,0.0082
OR69PU4_2_2,23,32,0.0032
OR69PU4_2_4,0,1309,0.1309
OR69PU4_2_4,1,1448,0.1448
OR69PU4_2_4,2,925,0.0925
OR69PU4_2_4,3,723,0.0723
OR69PU4_2_4,4,905,0.0905
OR69PU4_2_4,5,736,0.0736
OR69PU4_2_4,6,561,0.0561
OR69PU4_2_4,7,465,0.0465
OR69PU4_2_4,8,386,0.0386
OR69PU4_2_4,9,346,0.0346
OR69PU4_2_4,10,402,0.0402
OR69PU4_2_4,11,279,0.0279
OR69PU4_2_4,12,282,0.0282
OR69PU4_2_4,13,128,0.0128
OR69PU4_2_4,14,153,0.0153
OR69PU4_2_4,15,175,0.0175
OR69PU4_2_4,16,135,0.0135
OR69PU4_2_4,17,116,0.0116
OR69PU4_2_4,18,119,0.0119
OR69PU4_2_4,19,115,0.0115
OR69PU4_2_4,20,130,0.013
OR69PU4_2_4,21,85,0.0085
OR69PU4_2_4,22,56,0.0056
OR69PU4_2_4,23,21,0.0021
OR69PU4_2_7,0,1326,0.1326
OR69PU4_2_7,1,1352,0.1352
OR69PU4_2_7,2,972,0.0972
OR69PU4_2_7,3,829,0.0829
OR69PU4_2_7,4,841,0.0841
OR69PU4_2_7,5,723,0.0723
OR69PU4_2_7,6,557,0.0557
OR69PU4_2_7,7,509,0.0509
OR69PU4_2_7,8,368,0.0368
OR69PU4_2_7,9,383,0.0383
OR69PU4_2_7,10,332,0.0332
OR69PU4_2_7,11,250,0.025
OR69PU4_2_7,12,284,0.0284
OR69PU4_2_7,13,151,0.0151
OR69PU4_2_7,14,144,0.0144
OR69PU4_2_7,15,163,0.0163
OR69PU4_2_7,16,165,0.0165
OR69PU4_2_7,17,124,0.0124
OR69PU4_2_7,18,131,0.0131
OR69PU4_2_7,19,116,0.0116
OR69PU4_2_7,20,111,0.0111
OR69PU4_2_7,21,82,0.0082
OR69PU4_2_7,22,58,0.0058
OR69PU4_2_7,23,29,0.0029
