section_id,bird,section,n_cells,median_counts,median_features,median_cell_area,median_nucleus_area,mean_control_frac,n_zero_count,n_missing_area,frac_below_min_counts
OR52YW26_1_4,OR52YW26,1_4,181722,412,135,100.83390991017222,22.89421958103776,5.39455709733849e-4,42,0,0.002201164415976051
OR52YW26_1_7,OR52YW26,1_7,178820,333,124,92.29937835037708,18.87531318515539,5.26926424462196e-4,17,0,0.002991835365171681
OR52YW26_2_2,OR52YW26,2_2,165179,437,140,105.349535074085,22.758750826120377,5.935706688806774e-4,30,0,0.002579020335514805
OR52YW26_2_4,OR52YW26,2_4,144944,500,149,115.37422293797135,25.87453218922019,5.193576997810663e-4,30,0,0.003918754829451374
OR52YW26_2_7,OR52YW26,2_7,134344,423,136,107.60734765604138,21.90078204497695,4.297044985137546e-4,16,0,0.0025233728339188947
OR69PU4_1_4,OR69PU4,1_4,165298,387,131,104.40125378966331,22.26203205808997,5.453052592209011e-4,51,0,0.005487059734540043
OR69PU4_1_7,OR69PU4,1_7,184751,398,134,99.25344110280275,21.042813263833523,5.408739849731133e-4,143,0,0.008037845532635817
OR69PU4_2_2,OR69PU4,2_2,139226,395,133,104.10773815400898,21.539532031863928,5.94309055667378e-4,47,0,0.006651056555528422
OR69PU4_2_4,OR69PU4,2_4,132648,450,140,113.47766036912799,22.71359457448125,4.712571842505389e-4,41,0,0.005827453108980158
OR69PU4_2_7,OR69PU4,2_7,167077,473,144,107.02031638473272,22.758750826120377,5.109715287995392e-4,130,0,0.008133974155628842
