bird,slide,section,run,panel,segmentation,n_cells_reported,analysis_sw,section_id
OR52YW26,0028723,1_4,Brainard_KL_052905,otherBF Brain_425g,nucleus expansion,181722,xenium-3.3.0.1,OR52YW26_1_4
OR52YW26,0028723,1_7,Brainard_KL_052905,otherBF Brain_425g,nucleus expansion,178820,xenium-3.3.0.1,OR52YW26_1_7
OR52YW26,0028723,2_2,Brainard_KL_052905,otherBF Brain_425g,nucleus expansion,165179,xenium-3.3.0.1,OR52YW26_2_2
OR52YW26,0028723,2_4,Brainard_KL_052905,otherBF Brain_425g,nucleus expansion,144944,xenium-3.3.0.1,OR52YW26_2_4
OR52YW26,0028723,2_7,Brainard_KL_052905,otherBF Brain_425g,nucleus expansion,134344,xenium-3.3.0.1,OR52YW26_2_7
OR69PU4,0028750,1_4,Brainard_KL_052905,otherBF Brain_425g,nucleus expansion,165298,xenium-3.3.0.1,OR69PU4_1_4
OR69PU4,0028750,1_7,Brainard_KL_052905,otherBF Brain_425g,nucleus expansion,184751,xenium-3.3.0.1,OR69PU4_1_7
OR69PU4,0028750,2_2,Brainard_KL_052905,otherBF Brain_425g,nucleus expansion,139226,xenium-3.3.0.1,OR69PU4_2_2
OR69PU4,0028750,2_4,Brainard_KL_052905,otherBF Brain_425g,nucleus expansion,132648,xenium-3.3.0.1,OR69PU4_2_4
OR69PU4,0028750,2_7,Brainard_KL_052905,otherBF Brain_425g,nucleus expansion,167077,xenium-3.3.0.1,OR69PU4_2_7
