OMAid_1	RefSeq_1	gene_id	EntrezGene_1	SourceID_1	OMAid_2	RefSeq_2	Ensembl.Gene_2	EntrezGene_2	gene_name_ck	RelType	OmaGroup	gene_name_zf
TAEGU00869	XP_041569665	ENSTGUG00000029600	115492593	ENSTGUG00000029600.1	CHICK00056	XP_040558585	NA	121109235	LOC121109235	1:1	NA	TYMP
TAEGU00818	XP_030117504	ENSTGUG00000029414	100226519	ENSTGUG00000029414.1	CHICK00070	XP_015145945	NA	426868	GOLGB1	1:1	1072055	GOLGB1
TAEGU00820	XP_030117529	ENSTGUG00000015985	100223649	ENSTGUG00000015985.2	CHICK00074	XP_046764489	NA	426867	HCLS1	1:1	1073031	HCLS1
TAEGU00825	XP_030117539	ENSTGUG00000016027	100222652	ENSTGUG00000016027.2	CHICK00080	XP_040515803	NA	426866	NME6	1:1	1427779	NME6
TAEGU00827	NP_001232524; XP_002186942	ENSTGUG00000024637	100190120	ENSTGUG00000024637.1	CHICK00081	XP_025006812	NA	426865	RABL2A	1:1	NA	RABL2A
TAEGU00873	XP_030117471	ENSTGUG00000020556	115492583	ENSTGUG00000020556.1	CHICK00125	XP_015137192	NA	107052518	MIOX	1:1	1421236	MIOX
TAEGU00871	NA	ENSTGUG00000016093	NA	ENSTGUG00000016093.2	CHICK00128	NP_001026743	NA	429380	LMF2	1:1	NA	LMF2
TAEGU00859	XP_041576644	ENSTGUG00000024475	115492582	ENSTGUG00000024475.1	CHICK00131	XP_046765541	NA	426276	NCAPH2	1:1	1356019	NCAPH2
TAEGU00870	NA	ENSTGUG00000028468	NA	ENSTGUG00000028468.1	CHICK00138	XP_003640374	NA	429671	SCO2	1:1	980750	SCO2
TAEGU00901	XP_030117478	ENSTGUG00000001868	100223898	ENSTGUG00000001868.2	CHICK00146	NP_001383357	NA	395949	SMO	1:1	905171	SMO
TAEGU00902	XP_030117432	ENSTGUG00000023593	115492564	ENSTGUG00000023593.1	CHICK00147	XP_015143397	NA	416675	AHCYL2	1:1	1059711	AHCYL2
TAEGU09271	NA	ENSTGUG00000016262	NA	ENSTGUG00000016262.2	CHICK00190	NP_001186366	NA	416679	ZC3HC1	1:1	1387310	ZC3HC1
TAEGU09272	XP_030145448	ENSTGUG00000001895	100229662	ENSTGUG00000001895.2	CHICK00191	XP_004937471	NA	427683	KLHDC10	1:1	1069171	KLHDC10
TAEGU09275	NA	ENSTGUG00000001904	NA	ENSTGUG00000001904.2	CHICK00194	XP_040515859	NA	416681	TMEM209	1:1	944668	TMEM209
TAEGU09280	XP_041576769	ENSTGUG00000024014	100223967	ENSTGUG00000024014.1	CHICK00196	XP_015138595	NA	416682	CPA2	1:1	857345	CPA2
TAEGU09282	XP_002187593	ENSTGUG00000001912	100224866	ENSTGUG00000001912.2	CHICK00200	NP_989915	NA	395276	CPA1	1:1	857351	CPA1
TAEGU09283	XP_012424251	ENSTGUG00000001919	100218193	ENSTGUG00000001919.2	CHICK00202	NP_001186322	NA	416684	CEP41	1:1	1333487	CEP41
TAEGU09285	XP_041576812	ENSTGUG00000001900	100230640	ENSTGUG00000001900.2	CHICK00204	XP_015142671	NA	427684	MEST	1:1	1061206	MEST
TAEGU09288	NA	ENSTGUG00000001923	NA	ENSTGUG00000001923.2	CHICK00211	XP_040515854	NA	416685	COPG2	1:1	1338491	COPG2
TAEGU09289	XP_041576777	ENSTGUG00000001932	100221878	ENSTGUG00000001932.2	CHICK00220	XP_040534018	NA	416687	FBXO18	1:1	1305591	FBH1
TAEGU09294	NA	ENSTGUG00000001936	NA	ENSTGUG00000001936.2	CHICK00225	NP_001186243	NA	416688	ANKRD16	1:1	1071452	ANKRD16
TAEGU09297	NA	ENSTGUG00000001937	NA	ENSTGUG00000001937.2	CHICK00231	NP_990335	NA	395854	GDI1	1:1	NA	GDI2
TAEGU08094	XP_030145681	ENSTGUG00000001945	100228711	ENSTGUG00000001945.2	CHICK00242	XP_015139766	NA	416693	NET1	1:1	1078402	NET1
TAEGU08111	XP_041569818	ENSTGUG00000020653	115498143	ENSTGUG00000020653.1	CHICK00247	XP_001231711	NA	769274	UCN3	1:1	1379029	UCN3
TAEGU08115	NA	ENSTGUG00000025013	NA	ENSTGUG00000025013.1	CHICK00251	XP_040515887	NA	416698	SLC35B4	1:1	797540	SLC35B4
TAEGU08120	NA	ENSTGUG00000001956	NA	ENSTGUG00000001956.2	CHICK00254	XP_040515879	NA	416699	LRGUK	1:1	1030293	LRGUK
TAEGU08131	XP_041576886	ENSTGUG00000001959	100221937	ENSTGUG00000001959.2	CHICK00260	NP_001186249	NA	416700	EXOC4	1:1	890914	EXOC4
TAEGU08215	XP_030145820	ENSTGUG00000001964	100190377	ENSTGUG00000001964.2	CHICK00283	XP_015147936	NA	418435	CHCHD3	1:1	1070703	CHCHD3
TAEGU08234	XP_030145856	ENSTGUG00000001967	105758537	ENSTGUG00000001967.2	CHICK00297	XP_040515922	NA	427941	PLXNA4	1:1	1080005	PLXNA4
TAEGU08254	XP_004176567	ENSTGUG00000001982	100230564	ENSTGUG00000001982.2	CHICK00310	NP_001025944	NA	418250	MKLN1	1:1	1058488	MKLN1
TAEGU08290	XP_002189506	ENSTGUG00000002013	100220084	ENSTGUG00000002013.2	CHICK00319	XP_040514844	NA	418248	RBM17	1:1	1067878	RBM17
TAEGU08300	XP_030146040	ENSTGUG00000002025	100232575	ENSTGUG00000002025.2	CHICK00327	XP_046764806	NA	418247	PFKFB3	1:1	919606	PFKFB3
TAEGU08310	NA	ENSTGUG00000002037	NA	ENSTGUG00000002037.2	CHICK00337	XP_040510275	NA	776459	PRKCQ	1:1	1075893	PRKCQ
TAEGU08340	NA	ENSTGUG00000002052	NA	ENSTGUG00000002052.2	CHICK00341	XP_040510308	NA	425485	SFMBT2	1:1	1375789	SFMBT2
TAEGU08371	XP_030146159	ENSTGUG00000002077	100219029	ENSTGUG00000002077.2	CHICK00358	XP_015149766	NA	419111	ITIH5	1:1	831367	ITIH5
TAEGU08382	XP_002190101	ENSTGUG00000002088	100229660	ENSTGUG00000002088.2	CHICK00359	NP_001124213	NA	419110	ITIH2	1:1	831377	ITIH2
TAEGU08405	NA	ENSTGUG00000002123	NA	ENSTGUG00000002123.2	CHICK00364	NP_001265025	NA	419108	ATP5C1	1:1	1347738	ATP5F1C
TAEGU08414	XP_030146209	ENSTGUG00000002128	101233630	ENSTGUG00000002128.2	CHICK00366	NP_001026012	NA	419107	TAF3	1:1	1070400	TAF3
TAEGU08417	XP_030146218	ENSTGUG00000002134	100223964	ENSTGUG00000002134.2	CHICK00368	NP_001008444	NA	419106	GATA3	1:1	1342349	GATA3
TAEGU08431	NA	ENSTGUG00000002136	NA	ENSTGUG00000002136.2	CHICK00379	NP_989591	NA	374111	CELF2	1:1	1068334	CELF2
TAEGU08442	XP_030146268	ENSTGUG00000002142	100226760	ENSTGUG00000002142.2	CHICK00389	XP_040556699	NA	419104	USP6NL	1:1	1070405	USP6NL
TAEGU08453	XP_030146348	ENSTGUG00000002158	100218666	ENSTGUG00000002158.2	CHICK00398	XP_015152812	NA	419101	PROSER2	1:1	1024494	PROSER2
TAEGU08467	NA	ENSTGUG00000002163	NA	ENSTGUG00000002163.2	CHICK00406	XP_015153052	NA	419100	UPF2	1:1	1389906	UPF2
TAEGU08476	XP_002189880	ENSTGUG00000002175	100227746	ENSTGUG00000002175.2	CHICK00407	XP_040515044	NA	426076	DHTKD1	1:1	1427560	DHTKD1
TAEGU08481	XP_030146373	ENSTGUG00000002185	100230635	ENSTGUG00000002185.2	CHICK00408	XP_046764483	NA	426369	SEC61A2	1:1	1425101	SEC61A2
TAEGU08486	XP_002191815	ENSTGUG00000002198	100227819	ENSTGUG00000002198.2	CHICK00410	NP_001265034	NA	426368	NUDT5	1:1	1311575	NUDT5
TAEGU08498	XP_002191873	ENSTGUG00000002204	100224789	ENSTGUG00000002204.2	CHICK00413	XP_040510523	NA	426366	CDC123	1:1	1012286	CDC123
TAEGU08502	XP_002192041	ENSTGUG00000020240	100221874	ENSTGUG00000020240.1	CHICK00417	XP_003640379	NA	425522	CAMK1D	1:1	1068179	CAMK1D
TAEGU08504	NA	ENSTGUG00000002240	NA	ENSTGUG00000002240.2	CHICK00420	XP_003640381	NA	769832	CCDC3	1:1	1389004	CCDC3
TAEGU08507	XP_002192296	ENSTGUG00000002243	100219034	ENSTGUG00000002243.2	CHICK00421	NP_001383020	NA	374079	OPTN	1:1	1074013	OPTN
