finch,mouse
CDH19,CDH19
CDH7,CDH7
CDH20,CDH20
LOC110479271,CDH10
CDH9,CDH9
LOC110482821,CDH6
CDH12,CDH12
CDH18,CDH18
CDH11,CDH11
CDH8,CDH8
LOC110471896,KRT12
EPHA7,EPHA7
EPHA5,EPHA5
EPHA3,EPHA3
EPHA6,EPHA6
EPHA8,EPHA8
EPHA4,EPHA4
LYN,LYN
HCK,HCK
LCK,LCK
BLK,BLK
FYN,FYN
YES1,YES1
GNAI2,GNAI2
GNAO1,GNAO1
GNAZ,GNAZ
GNAT2,GNAT2
LOC110469766,GNAI1
SLC4A7,SLC4A7
SLC4A10,SLC4A10
SLC4A8,SLC4A8
SLC4A4,SLC4A4
SLC4A5,SLC4A5
PLA2G4F,PLA2G4F
HPCA,HPCA
HPCAL1,HPCAL1
VSNL1,VSNL1
HPCAL4,HPCAL4
NCALD,NCALD
COL1A2,COL1A2
COL3A1,COL3A1
YWHAQ,YWHAQ
YWHAZ,YWHAZ
YWHAB,YWHAB
YWHAG,YWHAG
YWHAH,YWHAH
LOC116184752,PRSS56
LOC110473194,KCNA6
KCNA4,KCNA4
KCNA2,KCNA2
LOC110475719,KCNA1
LOC110469136,KCNA3
LOC110474931,OR51E2
PAK1,PAK1
PAK2,PAK2
RPS27A,RPS27A
UBA52,UBA52
SULT1C4,SULT1C3
LOC110471711,SULT1E1
HS3ST4,HS3ST4
HS3ST2,HS3ST2
CAPN1,CAPN1
MAPK11,MAPK11
MAPK13,MAPK13
MAPK12,MAPK12
GRK5,GRK5
GRK6,GRK6
LOC110475364,KHDRBS1
KHDRBS3,KHDRBS3
KHDRBS2,KHDRBS2
NIPAL1,NIPAL1
NIPAL4,NIPAL4
DES,DES
VIM,VIM
PRPH,PRPH
GFAP,GFAP
UNC5C,UNC5C
UNC5B,UNC5B
LOC110475560,ABCC6
ABCC3,ABCC3
CLIC3,CLIC3
CLIC5,CLIC5
CLIC4,CLIC4
RAB8A,RAB8A
RAB8B,RAB8B
RAB10,RAB10
MOK,MOK
CDK1,CDK1
CDK5,CDK5
KCNJ5,KCNJ5
KCNJ6,KCNJ6
ALDH16A1,ALDH1A2
ALDH1A1,ALDH1A1
TLE1,TLE1
TLE3,TLE3
VAMP1,VAMP1
VAMP3,VAMP3
CKB,CKB
CKMT2,CKMT2
CACNA1D,CACNA1D
CACNA1C,CACNA1C
CACNA1S,CACNA1S
PFKFB3,PFKFB3
LOC110482654,PFKFB1
LOC110469914,PFKFB4
PFKFB2,PFKFB2
SPTB,SPTB
DNAH8,DNAH8
EBF3,EBF3
EBF2,EBF2
EBF1,EBF1
PPP2R2B,PPP2R2B
PPP2R2A,PPP2R2A
PPP2R2D,PPP2R2D
PPP2R2C,PPP2R2C
FGFR4,FGFR4
FGFR2,FGFR2
FGFR1,FGFR1
FGFR3,FGFR3
BMP7,BMP7
BMP5,BMP5
DPYSL2,DPYSL2
DPYSL3,DPYSL3
DPYSL4,DPYSL4
CNGA3,CNGA3
CNGA2,CNGA2
LOC110472637,GLRA4
GLRA1,GLRA1
GLRA3,GLRA3
GLRA2,GLRA2
RHO,RHO
PTPRU,PTPRU
PTPRK,PTPRK
PTPRM,PTPRM
PTPRT,PTPRT
PDK4,PDK4
PDK3,PDK3
PDK1,PDK1
RPS6KA2,RPS6KA2
RPS6KA6,RPS6KA6
RPS6KA3,RPS6KA3
GABRG1,GABRG1
GABRG2,GABRG2
LOC110472673,GABRA3
GABRA5,GABRA5
GABRA2,GABRA2
GABRA1,GABRA1
GABRB3,GABRB3
TENT5D,FAM46D
TENT5A,FAM46A
TENT5B,FAM46B
LOC110471174,NDST4
NDST1,NDST1
CAMK2A,CAMK2A
CAMK2D,CAMK2D
CAMK2G,CAMK2G
C1QL1,C1QL1
C1QL3,C1QL3
FGF12,FGF12
FGF14,FGF14
GRIA2,GRIA2
GRIA3,GRIA3
GRIA4,GRIA4
GRIA1,GRIA1
CAMK1G,CAMK1G
CAMK1D,CAMK1D
CAMK1,CAMK1
CDH2,CDH2
CDH4,CDH4
SLC7A1,SLC7A1
SLC7A3,SLC7A3
SLC7A2,SLC7A2
TENM3,TENM3
TENM1,TENM1
TENM2,TENM2
LOC110475079,CNTN3
CNTN5,CNTN5
LOC110469855,CNTN4
LOC110469856,CNTN6
AGO4,AGO4
AGO3,AGO3
LOC110484315,AGO1
AGO2,AGO2
ACTN2,ACTN2
ACTN1,ACTN1
ATP8B1,ATP8B1
ATP8B3,ATP8B3
ATP8B2,ATP8B2
LOC110469887,HK1
LOC110469886,HKDC1
LOC110478627,HK2
KCNIP4,KCNIP4
LOC110475701,KCNIP1
AQP9,AQP9
AQP10,AQP10
LOC110475038,AQP3
SYT9,SYT9
SYT6,SYT6
SYT10,SYT10
CELF5,CELF5
IKZF4,IKZF4
SLC6A6,SLC6A6
LOC110472986,SLC6A13
LOC110472938,SLC6A12
SLC6A11,SLC6A11
PPFIA1,PPFIA1
PPFIA2,PPFIA2
ATP2B2,ATP2B2
ATP2B1,ATP2B1
HCN1,HCN1
HCN2,HCN2
HCN3,HCN3
HCN4,HCN4
EPHB2,EPHB2
EPHB1,EPHB1
EPHB6,EPHB6
SRSF6,SRSF6
SRSF5,SRSF5
CNNM2,CNNM2
LOC110479238,ALDOB
ALDOC,ALDOC
MYL10,MYL10
GRM7,GRM7
GRM8,GRM8
NLGN3,NLGN3
ITK,ITK
LOC110484827,TXK
TEC,TEC
RAP2A,RAP2A
RAP2B,RAP2B
RHEB,RAP2C
HNRNPA2B1,HNRNPA2B1
MAST2,MAST2
DOCK2,DOCK2
DOCK1,DOCK1
LOC110481782,FABP5
OLFM1,OLFM1
OLFM3,OLFM3
ABCB11,ABCB11
SLC25A14,SLC25A14
RAB39A,RAB39A
RAB39B,RAB39B
KIF5C,KIF5C
KIF5B,KIF5B
GPR12,GPR12
SLC12A5,SLC12A5
SLC12A7,SLC12A7
DLG3,DLG3
PIM1,PIM1
WWP2,WWP2
WWP1,WWP1
NDRG3,NDRG3
LHFPL5,LHFPL5
LHFPL3,LHFPL3
LHFPL4,LHFPL4
DNAH3,DNAH3
DNAH1,DNAH1
MMP15,MMP15
MMP16,MMP16
MMP24,MMP24
KCNC2,KCNC2
NRAS,NRAS
CYTH1,CYTH1
CYTH3,CYTH3
CYTH4,CYTH4
MARK1,MARK1
TFCP2L1,TFCP2L1
TFCP2,TFCP2
ASIC4,ASIC4
ASIC1,ASIC1
LOC110470199,NME3
LOC110485078,BAAT
LOC110482333,TMEM132C
LOC110478432,TMEM132D
LOC110479734,TMEM132B
DPF3,DPF3
NOS1,NOS1
NOS2,NOS2
EDNRB,EDNRB
EDNRA,EDNRA
LOC110477964,EDNRB2
KLHL5,KLHL5
KLHL1,KLHL1
KLHL4,KLHL4
MBNL1,MBNL1
MBNL2,MBNL2
MBNL3,MBNL3
HEPH,HEPH
HEPHL1,HEPHL1
CP,CP
JAKMIP2,JAKMIP2
JAKMIP1,JAKMIP1
PLCL1,PLCL1
PLCL2,PLCL2
STK32C,STK32C
STK32A,STK32A
STK32B,STK32B
ARL8B,ARL8B
ARL8A,ARL8A
SSC4D,SSC4D
MTA1,MTA1
MTA3,MTA3
SAG,SAG
ARR3,ARR3
RAB5A,RAB5A
RAB5B,RAB5B
CPXM1,CPXM1
AEBP1,AEBP1
CPXM2,CPXM2
NOX1,NOX1
NOX3,NOX3
LOC110483221,CYBB
CLCN3,CLCN3
CLCN4,CLCN4
LOC110477961,CLCN5
ACAP3,ACAP3
GPD1L,GPD1L
CSMD3,CSMD3
CSMD2,CSMD2
CSMD1,CSMD1
CTBP1,CTBP1
RARA,RARA
RARB,RARB
PBX3,PBX3
LOC110479079,PBX4
PBX1,PBX1
RAB44,RAB44
SLC9A6,SLC9A6
SLC9A7,SLC9A7
SLC9A9,SLC9A9
HMGB3,HMGB3
HMGB1,HMGB1
HMGB2,HMGB2
VAV2,VAV2
VAV3,VAV3
YTHDF2,YTHDF2
YTHDF3,YTHDF3
LOC110481230,TAP2
ABCB9,ABCB9
LOC110481231,TAP1
DGKD,DGKD
DGKK,DGKK
DGKH,DGKH
LOC110479169,GABRR2
GABRR3,GABRR3
LOC110478758,GABRR1
ADGRL2,ADGRL2
HNF4A,HNF4A
HNF4G,HNF4G
LOC110476369,HNF4beta
LOC110481142,MCOLN1
LOC110470390,MCOLN2
MCOLN3,MCOLN3
PLS1,PLS1
LCP1,LCP1
PLS3,PLS3
LOC110481645,TWIST3
PHIP,PHIP
BRWD3,BRWD3
BRWD1,BRWD1
MAPK9,MAPK9
MAPK10,MAPK10
MAPK8,MAPK8
DNAJB5,DNAJB5
DNAJB4,DNAJB4
LOC110481821,PIP4K2C
PIP4K2A,PIP4K2A
PIP4K2B,PIP4K2B
DCK,DCK
ADAMTS2,ADAMTS2
ADAMTS14,ADAMTS14
ADAMTS3,ADAMTS3
TAGLN2,TAGLN2
TAGLN3,TAGLN3
TAGLN,TAGLN
FZD7,FZD7
FZD2,FZD2
FZD1,FZD1
NRXN3,NRXN3
TRPC6,TRPC6
TRPC3,TRPC3
TRPC7,TRPC7
PLXNA1,PLXNA1
PLXNA4,PLXNA4
PLXNA2,PLXNA2
MSN,MSN
EZR,EZR
RDX,RDX
FGF9,FGF9
FGF20,FGF20
MAPRE2,MAPRE2
MAPRE1,MAPRE1
LOC110471598,MAPRE3
PPP3CA,PPP3CA
LOXL2,LOXL2
PFKM,PFKM
PFKL,PFKL
PFKP,PFKP
PTBP1,PTBP1
PTBP3,PTBP3
PTBP2,PTBP2
STRN3,STRN3
STRN,STRN
USP46,USP46
USP12,USP12
STK24,STK24
STK26,STK26
STK25,STK25
MTMR8,MTMR8
MTMR6,MTMR6
SMAD1,SMAD1
SMAD9,SMAD9
SMAD5,SMAD5
LOC110478876,CPA5
LOC110475204,SULT6B1
SSBP2,SSBP2
SSBP3,SSBP3
LOC110470958,CALML3
HSPA4,HSPA4
HSPH1,HSPH1
HSPA4L,HSPA4L
ACSL1,ACSL1
ACSL5,ACSL5
KCNG2,KCNG2
KCNG1,KCNG1
KCNG4,KCNG4
FAT1,FAT1
FAT2,FAT2
FAT3,FAT3
RUNX1T1,RUNX1T1
CBFA2T3,CBFA2T3
ACVR1C,ACVR1C
ACVR1B,ACVR1B
RHOA,RHOA
RHOB,RHOB
RHOC,RHOC
RHCG,RHCG
RHAG,RHAG
LOC110480039,CPNE5
CPNE8,CPNE8
CPNE9,CPNE9
RUNX1,RUNX1
RUNX2,RUNX2
RUNX3,RUNX3
RCAN1,RCAN1
RCAN2,RCAN2
RCAN3,RCAN3
HERC4,HERC4
CELSR1,CELSR1
MTMR2,MTMR2
MTMR1,MTMR1
CTNNA3,CTNNA3
CTNNA1,CTNNA1
SESN1,SESN1
GLP1R,GLP1R
GCGR,GCGR
OTOF,OTOF
FER1L6,FER1L6
SLC30A2,SLC30A2
SLC30A8,SLC30A8
RYR3,RYR3
RYR2,RYR2
MTNR1A,MTNR1A
UBE2D2,UBE2D2
UBE2D3,UBE2D3
UBE2D1,UBE2D1
KCNN1,KCNN1
KCNN3,KCNN3
KCNN2,KCNN2
MGAT4A,MGAT4A
MGAT4B,MGAT4B
UNC13B,UNC13B
UNC13A,UNC13A
LAMB2,LAMB2
KIF3C,KIF3C
KIF3B,KIF3B
LOC110479188,FBXL2
FBXL20,FBXL20
LOC110483383,FBXL13
TFAP2C,TFAP2C
TFAP2A,TFAP2A
ATP10D,ATP10D
ATP10B,ATP10B
ATP10A,ATP10A
CHRNA2,CHRNA2
CHRNA3,CHRNA3
CHRNA6,CHRNA6
DRD1,DRD1
COMP,COMP
FMNL2,FMNL2
SLIT3,SLIT3
SLIT1,SLIT1
SLIT2,SLIT2
SLC8A3,SLC8A3
SLC8A1,SLC8A1
EHD4,EHD4
EHD3,EHD3
DIP2C,DIP2C
DIP2B,DIP2B
ENC1,ENC1
KLHL25,KLHL25
LOC110479627,PEX11G
ADAP2,ADAP2
ADAP1,ADAP1
ONECUT2,ONECUT2
ONECUT1,ONECUT1
ONECUT3,ONECUT3
CRY1,CRY1
DAB2IP,DAB2IP
SV2B,SV2B
PABPC1,PABPC1
SLC5A8,SLC5A8
SLC5A12,SLC5A12
GRIK1,GRIK1
GRIK2,GRIK2
GRIK3,GRIK3
DYRK2,DYRK2
CDK18,CDK18
SCUBE3,SCUBE3
SCUBE1,SCUBE1
SCUBE2,SCUBE2
SYT2,SYT2
SYT1,SYT1
SYT8,SYT8
PTPRD,PTPRD
PTPRF,PTPRF
PTPRS,PTPRS
MBD3,MBD3
KDM5A,KDM5A
SRGAP3,SRGAP3
SRGAP1,SRGAP1
TNIK,TNIK
MAP4K4,MAP4K4
CACNA1G,CACNA1G
CACNA1H,CACNA1H
SERINC3,SERINC3
SERINC1,SERINC1
SERINC2,SERINC2
LOC110481203,KCNJ12
KCNJ2,KCNJ2
KCNJ4,KCNJ4
FBN2,FBN2
FBN1,FBN1
DDR2,DDR2
LOC110471404,TARSL2
TARS2,TARS2
TARS1,TARS
CPNE1,CPNE1
CPNE2,CPNE2
LOC110469673,NR2F6
NR2F1,NR2F1
NR2F2,NR2F2
HDAC4,HDAC4
ABCA1,ABCA1
ABCA4,ABCA4
ABCA7,ABCA7
PPIF,PPIF
LOC110478774,PPIL6
ABHD17C,ABHD17C
ABHD17A,ABHD17A
ABHD17B,ABHD17B
SH3GL2,SH3GL2
SH3GL1,SH3GL1
SH3GL3,SH3GL3
SLC16A7,SLC16A7
ITPR1,ITPR1
KPNA1,KPNA1
KPNA6,KPNA6
KPNA5,KPNA5
MAN1C1,MAN1C1
MAN1A1,MAN1A1
MYH10,MYH10
MYH9,MYH9
MYH11,MYH11
RAB3C,RAB3C
RAB3A,RAB3A
PDE4D,PDE4D
PDE4B,PDE4B
PDE4C,PDE4C
ITGA1,ITGA1
LOC110477571,ITGA11
PIP5K1B,PIP5K1B
PIP5K1A,PIP5K1A
PLIN2,PLIN2
LOC110477877,PLIN5
EIF4A3,EIF4A3
LOC110475545,ACSM5
LOC110475546,ACSM3
LOC110483974,TRPM1
VDAC1,VDAC1
VDAC2,VDAC2
HSPA2,HSPA2
HSPA8,HSPA8
LOC110472277,CTRC
SLC2A1,SLC2A1
GNB3,GNB3
GNB4,GNB4
GNB1,GNB1
INSR,INSR
IGF1R,IGF1R
PDE1C,PDE1C
PDE1A,PDE1A
PPP1CB,PPP1CB
PPP1CA,PPP1CA
PPP1CC,PPP1CC
MYO5C,MYO5C
MYO5B,MYO5B
MYO5A,MYO5A
KCNH7,KCNH7
KCNH6,KCNH6
SLC4A3,SLC4A3
SLC4A2,SLC4A2
SLC4A1,SLC4A1
TEAD3,TEAD3
TEAD1,TEAD1
TEAD4,TEAD4
CORO6,CORO6
CORO1C,CORO1C
DHRS9,DHRS9
STX2,STX2
SMARCD2,SMARCD2
SMARCD1,SMARCD1
SMARCD3,SMARCD3
CCND2,CCND2
CCND1,CCND1
CCND3,CCND3
YPEL4,YPEL4
YPEL2,YPEL2
SENP1,SENP1
ATP2A2,ATP2A2
HSD11B1L,HSD11B1L
FERMT1,FERMT1
KCTD12,KCTD12
PCDH9,PCDH9
SHOX,SHOX
FAM3C,FAM3C
CBLN1,CBLN1
RCN1,RCN1
FOXP2,FOXP2
MC5R,MC5R
AP1S3,AP1S3
IGF2BP2,IGF2BP2
PTP4A1,PTP4A1
CAPZA1,CAPZA1
EEF1A2,EEF1A2
APBB1,APBB1
UBE2E3,UBE2E3
ADAMTS9,ADAMTS9
CBX3,CBX3
ARHGEF10L,ARHGEF10L
LOC110480098,MID2
SLC16A3,SLC16A3
TMEM14A,TMEM14A
FAM49A,FAM49A
LOC110469069,SH3BGR
LPAR1,LPAR1
ATP6V1C2,ATP6V1C2
CHD7,CHD7
LOC110474872,MAOA
NXPH3,NXPH3
RASGEF1C,RASGEF1C
MAP3K5,MAP3K5
BRD3,BRD3
ME3,ME3
SCIN,SCIN
DGAT2,DGAT2
EYA4,EYA4
ASAP2,ASAP2
LOC110482406,PNPLA7
NT5C1A,NT5C1A
PITX3,PITX3
GIPC3,GIPC3
HNRNPD,HNRNPD
DGKB,DGKB
SLC35F1,SLC35F1
FLVCR2,FLVCR2
SLC27A6,SLC27A6
AHCYL1,AHCYL1
ARHGAP5,ARHGAP5
ELAVL4,ELAVL4
DOCK9,DOCK9
CORO2A,CORO2A
MOB3C,MOB3C
ANKRD34C,ANKRD34C
PLCG1,PLCG1
SH3D19,SH3D19
TPPP3,TPPP3
LOC110481850,SKIV2L
PANK3,PANK3
AKT3,AKT3
GALNT13,GALNT13
GPR83,GPR83
GABARAPL2,GABARAPL2
PRKAR2B,PRKAR2B
TLL1,TLL1
DIRAS1,DIRAS1
RHOBTB1,RHOBTB1
SRPK1,SRPK1
STK39,STK39
GALR2,GALR2
ADAMTS1,ADAMTS1
MAT1A,MAT1A
CDC34,CDC34
SLC17A8,SLC17A8
CERCAM,CERCAM
CHST11,CHST11
RFX2,RFX2
LMAN2,LMAN2
LOC110477643,GPSM1
SLC7A6,SLC7A6
LMNB1,LMNB1
ORMDL1,ORMDL1
RBX1,RBX1
SLC9A4,SLC9A4
UBE2B,UBE2B
ARHGEF6,ARHGEF6
MCTP2,MCTP2
NAV3,NAV3
KIF2C,KIF2C
GNA11,GNA11
RORB,RORB
LARGE2,LARGE2
SNRK,SNRK
KIF1B,KIF1B
UBALD2,UBALD2
HSP90AB1,HSP90AB1
PDLIM1,PDLIM1
LOC110472940,ANTXR1
RAB37,RAB37
PRKCB,PRKCB
PYGB,PYGB
LOC110481003,PADI1
CTDSPL,CTDSPL
SORCS3,SORCS3
CHD5,CHD5
ENTPD4,ENTPD4
SIX6,SIX6
MAP3K3,MAP3K3
ACACB,ACACB
BIN1,BIN1
KIF18B,KIF18B
TAOK1,TAOK1
CSNK1G2,CSNK1G2
CHRNB2,CHRNB2
ANKRD13B,ANKRD13B
DAPK3,DAPK3
ARHGEF12,ARHGEF12
BCAN,BCAN
FN3K,FN3K
PPIP5K1,PPIP5K1
PPIP5K2,PPIP5K2
MAN2A2,MAN2A2
MAN2A1,MAN2A1
FER,FER
FES,FES
UNC45B,UNC45B
UNC45A,UNC45A
SEPHS1,SEPHS1
NF2,NF2
NIPSNAP1,NIPSNAP1
OSBP2,OSBP2
OSBP,OSBP
AP1B1,AP1B1
AP2B1,AP2B1
DTX1,DTX1
DTX4,DTX4
RASAL1,RASAL1
BCHE,BCHE
MED13L,MED13L
MED13,MED13
JPH1,JPH1
MYO10,MYO10
UPP1,UPP1
UPP2,UPP2
SCN3B,SCN3B
TRIO,TRIO
FBXL3,FBXL3
SEMA5A,SEMA5A
SEMA5B,SEMA5B
ADCY7,ADCY7
ADCY2,ADCY2
P2RY1,P2RY1
PFN1,PFN3
PFN2,PFN2
SIAH1,SIAH1
SIAH2,SIAH2
KPNA3,KPNA3
KPNA4,KPNA4
DOK5,DOK5
DOK6,DOK6
LXN,LXN
LOC110476610,RARRES1
PRELID3B,PRELID3B
PRELID3A,PRELID3A
PPIB,PPIB
PPIC,PPIC
DNAJB9,DNAJB9
CNDP2,CNDP2
CNDP1,CNDP1
PLPP4,PLPP4
LOX,LOX
DOCK3,DOCK3
PLCH1,PLCH1
IMPA2,IMPA2
IMPA1,IMPA1
MMEL1,MMEL1
MME,MME
GNAL,GNAL
EML4,EML4
KCND3,KCND3
HMGCLL1,HMGCLL1
HMGCL,HMGCL
LDLRAD4,LDLRAD4
PMEPA1,PMEPA1
DHX9,NPL
DHX36,DHX36
TRA2A,TRA2A
TRA2B,TRA2B
WNT2,WNT2
CCNL2,CCNL2
CCNL1,CCNL1
KCNAB1,KCNAB1
KCNAB2,KCNAB2
THRB,THRB
THRA,THRA
CCKAR,CCKAR
CCKBR,CCKBR
CHN2,CHN2
CHN1,CHN1
TBL1XR1,TBL1XR1
TRIM3,TRIM3
TRIM2,TRIM2
ZNF385D,ZNF385D
PIEZO2,PIEZO2
PIEZO1,PIEZO1
HYAL1,HYAL1
CTPS1,CTPS1
CTPS2,CTPS2
CADPS2,CADPS2
KCNH8,KCNH8
KCNH4,KCNH4
KAT2A,KAT2A
KAT2B,KAT2B
PGM2,PGM2
PGM2L1,PGM2L1
PDZRN3,PDZRN3
PDZRN4,PDZRN4
GPR78,GPR78
GPR26,GPR26
XK,XK
NEU4,NEU4
NEU3,NEU3
TWF2,TWF2
TWF1,TWF1
PRPS2,PRPS2
SKAP2,SKAP2
DMD,DMD
UTRN,UTRN
PCYT1A,PCYT1A
ELOVL5,ELOVL5
ELOVL2,ELOVL2
MYO7B,MYO7B
MYO7A,MYO7A
CAPN6,CAPN6
IL1RAPL1,IL1RAPL1
ST7,ST7
ST7L,ST7L
CAV1,CAV1
GADL1,GADL1
OSBPL11,OSBPL11
WNT11,WNT11
RAB31,RAB31
RAB22A,RAB22A
TIA1,TIA1
TIAL1,TIAL1
TRPC4,TRPC4
TRPC5,TRPC5
NPY,NPY
LOC110474803,PPY
MPP2,MPP2
MPP6,MPP6
RBBP4,RBBP4
RBBP7,RBBP7
KCNQ5,KCNQ5
KCNQ4,KCNQ4
DIAPH3,DIAPH3
ATP7B,ATP7B
ATP7A,ATP7A
JAK1,JAK1
RIMS1,RIMS1
RIMS2,RIMS2
RAB9A,RAB9A
RAB9B,RAB9B
TOP2B,TOP2B
TOP2A,TOP2A
G3BP2,G3BP2
G3BP1,G3BP1
RRM2B,RRM2B
RRM2,RRM2
OSR1,OSR1
NMT1,NMT1
NMT2,NMT2
LOC110479365,RGN
FHL5,FHL5
FHL2,FHL2
ACBD7,ACBD7
KCNB1,KCNB1
KCNB2,KCNB2
ROCK1,ROCK1
ROCK2,ROCK2
PTPRE,PTPRE
PTPRA,PTPRA
NANOS1,NANOS1
TBX18,TBX18
CYFIP1,CYFIP1
CYFIP2,CYFIP2
SDCBP2,SDCBP2
SDCBP,SDCBP
INTS6,INTS6
GALNTL6,GALNTL6
GALNT10,GALNT10
SAP30L,SAP30L
SAP30,SAP30
WDFY1,WDFY1
DLX5,DLX5
PHKA1,PHKA1
PHKA2,PHKA2
TNKS2,TNKS2
TNKS,TNKS
MOGAT2,MOGAT2
MOGAT1,MOGAT1
PPEF1,PPEF1
PPEF2,PPEF2
B2M,B2M
CHRNA10,CHRNA10
TPBG,TPBG
TPBGL,TPBGL
NAA15,NAA15
PRDX4,PRDX4
PRDX1,PRDX1
CALCR,CALCR
CALCRL,CALCRL
LOC110470132,MTHFD2L
MTHFD2,MTHFD2
STMN2,STMN2
STMN3,STMN3
ENOX1,ENOX1
ENOX2,ENOX2
LOC110469024,PCMTD2
PXDN,PXDN
CHMP4C,CHMP4C
CHMP4B,CHMP4B
CDS2,CDS2
CDS1,CDS1
SGCA,SGCA
SGCE,SGCE
DYNC1I1,DYNC1I1
DYNC1I2,DYNC1I2
PI15,PI15
R3HDML,R3HDML
CRISPLD2,CRISPLD2
CRISPLD1,CRISPLD1
AZIN2,AZIN2
TECRL,TECRL
LEPROT,LEPROT
LEPROTL1,LEPROTL1
ZFHX3,ZFHX3
ZFHX4,ZFHX4
ARSJ,ARSJ
SPARC,SPARC
SPARCL1,SPARCL1
NCOA1,NCOA1
HTR1B,HTR1B
HTR1D,HTR1D
CLVS2,CLVS2
THSD7B,THSD7B
THSD7A,THSD7A
LOC110469558,RCBTB2
RCBTB1,RCBTB1
SCD,SCD
SCD5,SCD5
LOC110484757,SDR16C5
GHSR,GHSR
MLNR,MLNR
ARL4C,ARL4C
ARL4A,ARL4A
CAB39,CAB39
CAB39L,CAB39L
DNAJC5,DNAJC5
TMEM30A,TMEM30A
ETV4,ETV4
NPBWR2,NPBWR2
NPBWR1,NPBWR1
ARID1B,ARID1B
ARFGEF1,ARFGEF1
ARFGEF2,ARFGEF2
LOC110470611,BMI1
HNRNPR,HNRNPR
SYNCRIP,SYNCRIP
CCDC28A,CCDC28A
CCDC28B,CCDC28B
FGF1,FGF1
SLC25A39,SLC25A39
SLC25A40,SLC25A40
PREX1,PREX1
ADARB1,ADARB1
ADARB2,ADARB2
SULF1,SULF1
SULF2,SULF2
BMPR1B,BMPR1B
BMPR1A,BMPR1A
B4GALT6,B4GALT6
NPFFR1,NPFFR1
NPFFR2,NPFFR2
GJA9,GJA9
GJA10,GJA10
POU3F2,POU3F2
POU3F3,POU3F3
CREM,CREM
TCEA2,TCEA2
TCEA1,TCEA1
LYPLA2,LYPLA2
LYPLA1,LYPLA1
EIF4E,EIF4E
EIF4E1B,EIF4E1B
RAB18,RAB18
PAX9,PAX9
THBS1,THBS1
THBS2,THBS2
RRAGC,RRAGC
RRAGD,RRAGD
SPTLC2,SPTLC2
SPTLC3,SPTLC3
GPR158,GPR158
ADCK1,ADCK1
ENPP3,ENPP3
ABHD3,ABHD3
ABHD15,ABHD1
GPC4,GPC4
GPC6,GPC6
LOC110475975,HRH4
HRH3,HRH3
ESRRB,ESRRB
ESRRG,ESRRG
SFMBT2,SFMBT2
SFMBT1,SFMBT1
BZW2,BZW2
BZW1,BZW1
OPRD1,OPRD1
OPRM1,OPRM1
MPP3,MPP3
UGGT1,UGGT1
FDX1,FDX1
MEIS1,MEIS1
GRM1,GRM1
RAB32,RAB32
RAB38,RAB38
PRKCD,PRKCD
PRKCQ,PRKCQ
STXBP5,STXBP5
GAD2,GAD2
GRM2,GRM2
GRM3,GRM3
GPC5,GPC5
UBE2V2,UBE2V2
MYO3B,MYO3B
MYO3A,MYO3A
SEMA3D,SEMA3D
PRKD3,PRKD3
PRKD1,PRKD1
SEMA3A,SEMA3A
TMEM161B,TMEM161B
IRF5,IRF5
IRF6,IRF6
KATNA1,KATNA1
STRIP1,STRIP1
STRIP2,STRIP2
GRIN3B,GRIN3B
GRIN3A,GRIN3A
PCMT1,PCMT1
SEC24C,SEC24C
SEC24D,SEC24D
PPP1R14C,PPP1R14C
PRSS12,PRSS12
TM9SF2,TM9SF2
HEATR5B,HEATR5B
MTHFD1,MTHFD1
MTHFD1L,MTHFD1L
CELF2,CELF2
CELF1,CELF1
FUCA2,FUCA2
FUCA1,FUCA1
SEC24A,SEC24A
SEC24B,SEC24B
ETNPPL,ETNPPL
PHYKPL,PHYKPL
SEC61A2,SEC61A2
SEC61A1,SEC61A1
WASF3,WASF3
SLC15A1,SLC15A1
SLC15A2,SLC15A2
CDK8,CDK8
CDK19,CDK19
SNX5,SNX5
PAPSS1,PAPSS1
PAPSS2,PAPSS2
ATP8A2,ATP8A2
ATP8A1,ATP8A1
PLXDC1,PLXDC1
PLXDC2,PLXDC2
FARP1,FARP1
FARP2,FARP2
ARL5B,ARL5B
ARL5A,ARL5A
SOX14,SOX14
SOX21,SOX21
ARHGEF9,ARHGEF9
PGF,PGF
VEGFA,VEGFA
SSTR1,SSTR1
SSTR4,SSTR4
AGPAT3,AGPAT3
AGPAT4,AGPAT4
SEMA3G,SEMA3G
SEMA3E,SEMA3E
PPA1,PPA1
PPA2,PPA2
STAM2,STAM2
STAM,STAM
HACD2,HACD2
HACD1,HACD1
FZD5,FZD5
FZD8,FZD8
DENND6A,DENND6A
DENND6B,DENND6B
SEC23B,SEC23B
SEC23A,SEC23A
SGK2,SGK2
SGK1,SGK1
SBF2,SBF2
DCLK2,DCLK2
DCLK1,DCLK1
LRBA,LRBA
COPG2,COPG2
COPG1,COPG1
DSTN,DSTN
CFL2,CFL2
PDS5B,PDS5B
LOC110468464,HAPLN4
ZAR1L,ZAR1L
DUSP22,DUSP22
